dataset,model,stage,domain,mIoU,aAcc,fwIoU,num_images
mapillaryvistas,deeplabv3plus_r50,stage2,cloudy,33.65662660299775,91.08186410023616,85.46084980783728,1248
mapillaryvistas,deeplabv3plus_r50,stage2,dawn_dusk,36.74931297890797,88.5486920674642,81.71465089088166,48
mapillaryvistas,deeplabv3plus_r50,stage2,foggy,39.638592721813986,90.95084578902633,85.64045472920195,27
mapillaryvistas,deeplabv3plus_r50,stage2,night,29.189746917910185,84.86421373155382,77.13635566553381,81
mapillaryvistas,deeplabv3plus_r50,stage2,rainy,30.97208444522947,85.30845642089844,77.62408406809487,166
mapillaryvistas,deeplabv3plus_r50,stage2,snowy,30.431970017920047,86.91679511974061,78.95059945347455,153
mapillaryvistas,pspnet_r50,stage2,clear_day,33.88596918717528,88.98268875245049,81.83841633965531,3226
mapillaryvistas,pspnet_r50,stage2,cloudy,34.47225753851681,90.92672849312807,84.9939145420427,1248
mapillaryvistas,pspnet_r50,stage2,dawn_dusk,35.18891657799326,88.11288674672446,80.80762562982636,48
mapillaryvistas,pspnet_r50,stage2,foggy,38.88395569223284,90.75356942635996,84.70141175168274,27
mapillaryvistas,pspnet_r50,stage2,night,29.653736003015176,85.1433883478612,76.2968802467498,81
mapillaryvistas,pspnet_r50,stage2,rainy,31.507244601110507,85.34928057567183,77.2637872763024,166
mapillaryvistas,pspnet_r50,stage2,snowy,30.489443852422564,86.1816979701223,77.9921150391957,153
mapillaryvistas,segformer_mit-b5,stage2,clear_day,40.881682117645894,90.5294866496853,84.12967685501758,3226
mapillaryvistas,segformer_mit-b5,stage2,cloudy,38.908688259300725,92.0347409370618,86.69147410316727,1248
mapillaryvistas,segformer_mit-b5,stage2,dawn_dusk,42.8730788300633,89.62179819742838,82.89456311538146,48
mapillaryvistas,segformer_mit-b5,stage2,foggy,50.16839293022658,94.37195106788919,89.79261142950105,27
mapillaryvistas,segformer_mit-b5,stage2,night,37.08831871792559,89.10391065809462,81.76350562463624,81
mapillaryvistas,segformer_mit-b5,stage2,rainy,36.33352793439328,88.12189217073372,80.60939092317602,166
mapillaryvistas,segformer_mit-b5,stage2,snowy,38.92705187297765,90.2416777766608,83.22339303012747,153
outside15k,deeplabv3plus_r50,stage2,clear_day,32.488818362142844,76.75191148499951,65.77881095489417,1767
outside15k,deeplabv3plus_r50,stage2,cloudy,28.70372988134061,73.97887788969895,64.63939376211856,174
outside15k,deeplabv3plus_r50,stage2,dawn_dusk,15.684142486689867,50.326907995975375,39.45286156613201,66
outside15k,deeplabv3plus_r50,stage2,foggy,37.88557067998482,75.41012119602513,64.23852602995487,37
outside15k,deeplabv3plus_r50,stage2,night,18.808991786332022,62.51540348447603,52.024475255944715,87
outside15k,deeplabv3plus_r50,stage2,rainy,27.15355338476286,58.64946047465006,44.504948087342314,192
outside15k,deeplabv3plus_r50,stage2,snowy,23.806849489903186,60.844547145969266,47.07879416553541,182
outside15k,pspnet_r50,stage2,clear_day,37.18298804567307,78.80943548767056,68.59994064837244,1767
outside15k,pspnet_r50,stage2,cloudy,33.16366056011103,77.18733864269038,68.02970898231773,174
outside15k,pspnet_r50,stage2,dawn_dusk,21.01856163344742,60.444820288455844,49.34527555361194,66
outside15k,pspnet_r50,stage2,foggy,50.65060785686042,82.73247383736275,73.24177027294267,37
outside15k,pspnet_r50,stage2,night,24.714669239336647,74.00702114762932,62.777873271113926,87
outside15k,pspnet_r50,stage2,rainy,30.406043784541737,62.61669794718424,49.00538486645422,192
outside15k,pspnet_r50,stage2,snowy,31.858684455585195,68.70660677060975,56.774421753943535,182
outside15k,segformer_mit-b5,stage2,clear_day,52.08180755018709,85.05571707535006,75.59706402912131,1767
outside15k,segformer_mit-b5,stage2,cloudy,47.94809260965563,85.05853894113125,76.71466834613791,174
outside15k,segformer_mit-b5,stage2,dawn_dusk,41.708405965571764,79.3288028601444,69.06710899753797,66
outside15k,segformer_mit-b5,stage2,foggy,74.2815353307302,92.30300284720757,86.31892886331316,37
outside15k,segformer_mit-b5,stage2,night,39.386983593603674,82.94907054681887,73.37142030854866,87
outside15k,segformer_mit-b5,stage2,rainy,48.85679653928957,76.16508801778158,63.38002120027105,192
outside15k,segformer_mit-b5,stage2,snowy,40.96449803171273,78.14119359949133,66.72275364902809,182
