dataset,model,model_type,domain,mIoU,aAcc,fwIoU,num_images
mapillaryvistas,pspnet_r50,full,dawn_dusk,29.78227423256683,80.16109262826126,76.6887328653456,48
mapillaryvistas,pspnet_r50,full,foggy,100.0,100.0,100.0,27
mapillaryvistas,pspnet_r50,full,night,37.96053007241091,78.25950237805118,68.39203147601214,81
mapillaryvistas,pspnet_r50,full,rainy,37.7482557426476,72.47876370554563,58.08740336220934,166
mapillaryvistas,pspnet_r50,full,snowy,25.64230671138532,58.416618033265244,46.18312978539786,153
mapillaryvistas,segformer_mit-b5,full,clear_day,66.91729781034014,93.17080321002851,87.5899581265573,3226
mapillaryvistas,segformer_mit-b5,full,cloudy,66.26200507237228,95.48723406565959,91.99094796310851,1248
mapillaryvistas,segformer_mit-b5,full,dawn_dusk,49.604076719381744,96.89196287865522,94.81281355514291,48
mapillaryvistas,segformer_mit-b5,full,foggy,100.0,100.0,100.0,27
mapillaryvistas,segformer_mit-b5,full,night,57.59227710629852,95.23996698242993,91.42100491579579,81
mapillaryvistas,segformer_mit-b5,full,rainy,69.2317109135571,96.27509554246424,93.45247695048526,166
mapillaryvistas,segformer_mit-b5,full,snowy,59.687180378735164,94.43025970236359,90.58609965494982,153
outside15k,deeplabv3plus_r50,full,clear_day,57.824628833559146,88.42629873107971,80.393768245379,1767
outside15k,deeplabv3plus_r50,full,cloudy,55.23730491997826,89.51952965079875,82.95324623340305,174
outside15k,deeplabv3plus_r50,full,dawn_dusk,31.290060589231118,72.18458733340807,63.665013154401585,66
outside15k,deeplabv3plus_r50,full,foggy,55.513944911986044,84.34929592653069,76.02783980820355,37
outside15k,deeplabv3plus_r50,full,night,31.295738912858045,74.07623765054832,63.28107077269101,87
outside15k,deeplabv3plus_r50,full,rainy,46.07730884508802,71.15984862521387,56.381351881969145,192
outside15k,deeplabv3plus_r50,full,snowy,53.503699232606984,83.78760546491111,75.00821760425227,182
outside15k,pspnet_r50,full,clear_day,65.95518327911938,90.48089902354114,83.51492964878068,1767
outside15k,pspnet_r50,full,cloudy,63.74564618638778,92.7291850348859,87.79702961680836,174
outside15k,pspnet_r50,full,dawn_dusk,42.12624994461923,78.17205692836683,69.02601545740805,66
outside15k,pspnet_r50,full,foggy,65.00270293905841,89.36242413963188,82.12699815380759,37
