strategy,dataset,model,domain,mIoU,fwIoU,aAcc,mAcc,num_images
baseline,idd-aw,deeplabv3plus_r50,night,39.4823,79.3666,87.9451,48.5994,93.0
baseline,idd-aw,deeplabv3plus_r50,rainy,42.2234,80.256,88.4838,49.3365,204.0
baseline,idd-aw,deeplabv3plus_r50,snowy,41.7621,74.264,85.0819,49.8012,163.0
baseline,idd-aw,pspnet_r50,clear_day,43.1542,72.7094,83.254,52.4094,1650.0
baseline,idd-aw,pspnet_r50,cloudy,45.2533,88.6309,93.477,53.3462,416.0
baseline,idd-aw,pspnet_r50,dawn_dusk,42.8153,85.5344,91.7065,51.5981,112.0
baseline,idd-aw,pspnet_r50,foggy,55.9621,92.7324,96.0424,63.0771,290.0
baseline,idd-aw,pspnet_r50,night,43.4961,81.9819,89.5628,51.8613,93.0
baseline,idd-aw,pspnet_r50,rainy,42.4165,80.5313,88.7078,49.5669,204.0
baseline,idd-aw,pspnet_r50,snowy,43.4652,74.0634,85.0574,50.006,163.0
baseline,idd-aw,segformer_mit-b5,clear_day,46.4974,74.1772,84.2062,56.5611,1650.0
baseline,idd-aw,segformer_mit-b5,cloudy,49.4826,89.4765,93.9979,58.3857,416.0
baseline,idd-aw,segformer_mit-b5,dawn_dusk,49.1735,87.1645,92.7317,57.8274,112.0
baseline,idd-aw,segformer_mit-b5,foggy,63.7955,94.012,96.7687,71.7901,290.0
baseline,idd-aw,segformer_mit-b5,night,50.7453,85.6352,91.8124,59.7849,93.0
baseline,idd-aw,segformer_mit-b5,rainy,47.2434,82.3885,89.8377,56.1645,204.0
baseline,idd-aw,segformer_mit-b5,snowy,48.153,77.6402,87.2972,56.3044,163.0
baseline,outside15k,deeplabv3plus_r50,clear_day,32.4888,65.7788,76.7519,40.6426,1767.0
baseline,outside15k,deeplabv3plus_r50,cloudy,28.7037,64.6394,73.9789,37.8385,174.0
baseline,outside15k,deeplabv3plus_r50,dawn_dusk,15.6841,39.4529,50.3269,26.4721,66.0
baseline,outside15k,deeplabv3plus_r50,night,18.809,52.0245,62.5154,26.5106,87.0
baseline,outside15k,deeplabv3plus_r50,rainy,27.1536,44.5049,58.6495,36.4485,192.0
baseline,outside15k,deeplabv3plus_r50,snowy,23.8068,47.0788,60.8445,32.4294,182.0
baseline,outside15k,pspnet_r50,clear_day,37.183,68.5999,78.8094,45.5346,1767.0
baseline,outside15k,pspnet_r50,cloudy,33.1637,68.0297,77.1873,41.619,174.0
baseline,outside15k,pspnet_r50,dawn_dusk,21.0186,49.3453,60.4448,29.876,66.0
baseline,outside15k,pspnet_r50,night,24.7147,62.7779,74.007,33.3324,87.0
baseline,outside15k,pspnet_r50,rainy,30.406,49.0054,62.6167,39.1239,192.0
baseline,outside15k,pspnet_r50,snowy,31.8587,56.7744,68.7066,40.0428,182.0
baseline,outside15k,segformer_mit-b5,clear_day,52.0818,75.5971,85.0557,64.7252,1767.0
baseline,outside15k,segformer_mit-b5,cloudy,47.9481,76.7147,85.0585,59.1429,174.0
baseline,outside15k,segformer_mit-b5,dawn_dusk,41.7084,69.0671,79.3288,53.2614,66.0
baseline,outside15k,segformer_mit-b5,night,39.387,73.3714,82.9491,52.0014,87.0
baseline,outside15k,segformer_mit-b5,rainy,48.8568,63.38,76.1651,61.4554,192.0
baseline,outside15k,segformer_mit-b5,snowy,40.9645,66.7228,78.1412,50.8383,182.0
std_photometric_distort,bdd10k,deeplabv3plus_r50,clear_day,43.9484,84.5862,91.2442,51.2823,1016.0
std_photometric_distort,bdd10k,deeplabv3plus_r50,cloudy,47.218,89.3825,94.0471,53.6376,230.0
std_photometric_distort,bdd10k,deeplabv3plus_r50,dawn_dusk,38.0145,85.4105,91.5931,45.208,94.0
std_photometric_distort,bdd10k,deeplabv3plus_r50,night,25.9836,61.7812,76.3752,32.5561,92.0
std_photometric_distort,bdd10k,deeplabv3plus_r50,rainy,41.3277,80.5354,88.7097,49.1097,200.0
std_photometric_distort,bdd10k,deeplabv3plus_r50,snowy,47.6478,84.1005,90.8368,55.2058,221.0
std_photometric_distort,bdd10k,pspnet_r50,clear_day,45.0638,84.6312,91.3196,52.3238,1016.0
std_photometric_distort,bdd10k,pspnet_r50,cloudy,48.588,89.5494,94.1968,54.9923,230.0
std_photometric_distort,bdd10k,pspnet_r50,dawn_dusk,39.5922,85.7173,91.9512,45.2741,94.0
std_photometric_distort,bdd10k,pspnet_r50,night,29.7467,66.7921,79.6322,35.7358,92.0
std_photometric_distort,bdd10k,pspnet_r50,rainy,43.4891,81.0903,89.1306,51.642,200.0
std_photometric_distort,bdd10k,pspnet_r50,snowy,50.4615,84.1506,90.9648,61.3053,221.0
std_photometric_distort,bdd10k,segformer_mit-b5,clear_day,52.327,86.2907,92.3473,60.0171,1016.0
std_photometric_distort,bdd10k,segformer_mit-b5,cloudy,54.3897,90.55,94.7988,61.2674,230.0
std_photometric_distort,bdd10k,segformer_mit-b5,dawn_dusk,47.951,87.0807,92.7365,56.0285,94.0
std_photometric_distort,bdd10k,segformer_mit-b5,night,32.6523,71.3862,82.998,39.8042,92.0
std_photometric_distort,bdd10k,segformer_mit-b5,rainy,52.3364,84.1351,91.1011,60.1071,200.0
std_photometric_distort,bdd10k,segformer_mit-b5,snowy,59.5667,86.5605,92.4465,69.0158,221.0
std_photometric_distort,idd-aw,deeplabv3plus_r50,clear_day,44.423,73.1541,83.5611,54.4067,1650.0
std_photometric_distort,idd-aw,deeplabv3plus_r50,cloudy,45.025,88.2267,93.2082,54.2943,416.0
std_photometric_distort,idd-aw,deeplabv3plus_r50,dawn_dusk,43.3981,85.4251,91.6024,52.6242,112.0
std_photometric_distort,idd-aw,deeplabv3plus_r50,foggy,51.6377,91.0439,95.0439,61.3216,290.0
std_photometric_distort,idd-aw,deeplabv3plus_r50,night,39.2726,79.0627,87.7264,49.6568,93.0
std_photometric_distort,idd-aw,deeplabv3plus_r50,rainy,40.5908,79.4287,87.973,47.3484,204.0
std_photometric_distort,idd-aw,deeplabv3plus_r50,snowy,41.4074,72.5851,83.9731,48.3003,163.0
std_photometric_distort,idd-aw,pspnet_r50,clear_day,43.4907,72.75,83.3503,52.7004,1650.0
std_photometric_distort,idd-aw,pspnet_r50,cloudy,44.2851,87.9884,93.1125,52.1783,416.0
std_photometric_distort,idd-aw,pspnet_r50,dawn_dusk,41.9015,85.151,91.4842,50.2501,112.0
std_photometric_distort,idd-aw,pspnet_r50,foggy,52.0271,91.4709,95.3112,59.123,290.0
std_photometric_distort,idd-aw,pspnet_r50,night,41.1175,81.5299,89.2886,49.1361,93.0
std_photometric_distort,idd-aw,pspnet_r50,rainy,41.6083,80.1927,88.4674,48.9584,204.0
std_photometric_distort,idd-aw,pspnet_r50,snowy,42.2847,72.4157,84.04,49.0916,163.0
std_photometric_distort,idd-aw,segformer_mit-b5,clear_day,47.0989,74.7127,84.6412,57.2245,1650.0
std_photometric_distort,idd-aw,segformer_mit-b5,cloudy,48.0492,89.194,93.8457,57.0981,416.0
std_photometric_distort,idd-aw,segformer_mit-b5,dawn_dusk,48.8395,86.8265,92.5667,56.859,112.0
std_photometric_distort,idd-aw,segformer_mit-b5,foggy,59.2151,93.3984,96.4189,67.6635,290.0
std_photometric_distort,idd-aw,segformer_mit-b5,night,49.4002,85.7829,91.92,58.5616,93.0
std_photometric_distort,idd-aw,segformer_mit-b5,rainy,47.0954,82.1454,89.7133,55.0718,204.0
std_photometric_distort,idd-aw,segformer_mit-b5,snowy,48.0253,78.4104,87.7619,56.6888,163.0
std_photometric_distort,outside15k,deeplabv3plus_r50,clear_day,32.1199,65.7191,76.9632,39.8576,1767.0
std_photometric_distort,outside15k,deeplabv3plus_r50,cloudy,29.2314,65.11,75.6457,38.3599,174.0
std_photometric_distort,outside15k,deeplabv3plus_r50,dawn_dusk,16.9261,44.8331,55.259,28.102,66.0
std_photometric_distort,outside15k,deeplabv3plus_r50,night,19.7046,55.0714,68.859,27.5126,87.0
std_photometric_distort,outside15k,deeplabv3plus_r50,rainy,25.471,45.3442,59.6808,34.5604,192.0
std_photometric_distort,outside15k,deeplabv3plus_r50,snowy,23.4389,43.1909,57.8869,33.6489,182.0
std_photometric_distort,outside15k,pspnet_r50,clear_day,37.1992,67.9038,77.794,47.1848,1767.0
std_photometric_distort,outside15k,pspnet_r50,cloudy,30.6347,65.8901,74.3441,39.6173,174.0
std_photometric_distort,outside15k,pspnet_r50,dawn_dusk,20.8532,49.7007,59.1717,31.3766,66.0
std_photometric_distort,outside15k,pspnet_r50,night,27.1122,65.7146,75.8077,35.249,87.0
std_photometric_distort,outside15k,pspnet_r50,rainy,29.8954,46.8501,59.0311,41.3963,192.0
std_photometric_distort,outside15k,pspnet_r50,snowy,31.6457,53.3481,65.34,40.859,182.0
std_photometric_distort,outside15k,segformer_mit-b5,clear_day,51.177,75.6501,85.0369,63.359,1767.0
std_photometric_distort,outside15k,segformer_mit-b5,cloudy,49.1752,77.8022,86.0797,60.0985,174.0
std_photometric_distort,outside15k,segformer_mit-b5,dawn_dusk,42.6984,70.1747,80.4533,54.5488,66.0
std_photometric_distort,outside15k,segformer_mit-b5,night,43.8701,74.357,84.0374,53.9388,87.0
std_photometric_distort,outside15k,segformer_mit-b5,rainy,46.0719,62.6798,75.3303,58.3726,192.0
std_photometric_distort,outside15k,segformer_mit-b5,snowy,41.7401,66.439,77.4455,52.4082,182.0
std_autoaugment,bdd10k,deeplabv3plus_r50,clear_day,45.0268,84.4856,91.181,52.7391,1016.0
std_autoaugment,bdd10k,deeplabv3plus_r50,cloudy,46.4222,89.3541,94.0166,53.2122,230.0
std_autoaugment,bdd10k,deeplabv3plus_r50,dawn_dusk,39.2146,85.5292,91.6665,46.7089,94.0
std_autoaugment,bdd10k,deeplabv3plus_r50,night,25.1157,61.9721,76.1688,33.0437,92.0
std_autoaugment,bdd10k,deeplabv3plus_r50,rainy,40.4939,80.9269,88.6344,49.6545,200.0
std_autoaugment,bdd10k,deeplabv3plus_r50,snowy,48.4519,84.0333,90.7997,56.1335,221.0
std_autoaugment,bdd10k,pspnet_r50,clear_day,46.1269,84.8243,91.4391,54.03,1016.0
std_autoaugment,bdd10k,pspnet_r50,cloudy,49.0095,89.5463,94.1963,56.0062,230.0
std_autoaugment,bdd10k,pspnet_r50,dawn_dusk,39.8431,85.7318,91.9268,45.7903,94.0
std_autoaugment,bdd10k,pspnet_r50,night,29.0491,66.4587,79.6166,35.2031,92.0
std_autoaugment,bdd10k,pspnet_r50,rainy,46.1442,82.375,89.9887,53.8437,200.0
std_autoaugment,bdd10k,pspnet_r50,snowy,50.9747,84.5038,91.1526,61.4714,221.0
std_autoaugment,bdd10k,segformer_mit-b5,clear_day,51.6939,86.1887,92.2829,59.3256,1016.0
std_autoaugment,bdd10k,segformer_mit-b5,cloudy,54.6815,90.6086,94.8335,60.8929,230.0
std_autoaugment,bdd10k,segformer_mit-b5,dawn_dusk,49.0898,86.9598,92.6782,56.4884,94.0
std_autoaugment,bdd10k,segformer_mit-b5,night,32.5521,70.4306,82.3476,39.4988,92.0
std_autoaugment,bdd10k,segformer_mit-b5,rainy,52.1803,84.5717,91.3597,59.5661,200.0
std_autoaugment,bdd10k,segformer_mit-b5,snowy,60.1694,86.3945,92.3588,68.9642,221.0
std_autoaugment,idd-aw,deeplabv3plus_r50,clear_day,44.4468,73.1994,83.572,54.4669,1650.0
std_autoaugment,idd-aw,deeplabv3plus_r50,cloudy,45.0394,88.1105,93.137,54.1052,416.0
std_autoaugment,idd-aw,deeplabv3plus_r50,dawn_dusk,42.2586,84.3845,90.9134,51.9454,112.0
std_autoaugment,idd-aw,deeplabv3plus_r50,foggy,52.3885,90.6351,94.8534,61.6603,290.0
std_autoaugment,idd-aw,deeplabv3plus_r50,night,38.0409,76.4643,86.2202,48.0782,93.0
std_autoaugment,idd-aw,deeplabv3plus_r50,rainy,41.8699,79.6236,88.125,48.9061,204.0
std_autoaugment,idd-aw,deeplabv3plus_r50,snowy,42.48,73.3706,84.4721,49.7842,163.0
std_autoaugment,idd-aw,pspnet_r50,clear_day,43.7967,72.864,83.3972,53.2078,1650.0
std_autoaugment,idd-aw,pspnet_r50,cloudy,44.3326,88.2442,93.2197,52.6219,416.0
std_autoaugment,idd-aw,pspnet_r50,dawn_dusk,44.2951,85.2999,91.5935,53.1657,112.0
std_autoaugment,idd-aw,pspnet_r50,foggy,52.2765,91.5168,95.3155,60.3148,290.0
std_autoaugment,idd-aw,pspnet_r50,night,40.699,80.8167,88.7727,50.0631,93.0
std_autoaugment,idd-aw,pspnet_r50,rainy,42.4319,80.3834,88.6202,49.3531,204.0
std_autoaugment,idd-aw,pspnet_r50,snowy,43.0393,72.0648,83.8605,50.313,163.0
std_autoaugment,idd-aw,segformer_mit-b5,clear_day,46.9083,74.6302,84.5822,56.9318,1650.0
std_autoaugment,idd-aw,segformer_mit-b5,cloudy,48.2257,89.3043,93.918,57.0281,416.0
std_autoaugment,idd-aw,segformer_mit-b5,dawn_dusk,48.4428,86.9331,92.6072,57.2351,112.0
std_autoaugment,idd-aw,segformer_mit-b5,foggy,60.3035,93.5776,96.5246,68.7068,290.0
std_autoaugment,idd-aw,segformer_mit-b5,night,49.856,85.7966,91.9558,58.3693,93.0
std_autoaugment,idd-aw,segformer_mit-b5,rainy,47.6381,82.5144,89.9536,56.5062,204.0
std_autoaugment,idd-aw,segformer_mit-b5,snowy,49.8697,78.2656,87.7263,57.4417,163.0
std_autoaugment,outside15k,deeplabv3plus_r50,clear_day,32.6467,66.6627,77.6669,40.7422,1767.0
std_autoaugment,outside15k,deeplabv3plus_r50,cloudy,30.524,66.0675,76.1476,39.4709,174.0
std_autoaugment,outside15k,deeplabv3plus_r50,dawn_dusk,19.0044,48.9626,61.5817,28.7011,66.0
std_autoaugment,outside15k,deeplabv3plus_r50,night,21.8446,57.3191,70.2174,28.9882,87.0
std_autoaugment,outside15k,deeplabv3plus_r50,rainy,27.9129,47.5715,61.6875,37.4625,192.0
std_autoaugment,outside15k,deeplabv3plus_r50,snowy,24.3458,47.7186,61.3032,33.5668,182.0
std_autoaugment,outside15k,pspnet_r50,clear_day,36.9708,68.1808,78.1248,47.9921,1767.0
std_autoaugment,outside15k,pspnet_r50,cloudy,29.7898,65.6248,74.3252,38.5596,174.0
std_autoaugment,outside15k,pspnet_r50,dawn_dusk,22.6193,52.1496,62.3642,34.3123,66.0
std_autoaugment,outside15k,pspnet_r50,night,26.4885,63.5709,75.215,35.7405,87.0
std_autoaugment,outside15k,pspnet_r50,rainy,30.6669,47.8447,60.35,43.5024,192.0
std_autoaugment,outside15k,pspnet_r50,snowy,32.2237,50.7907,63.0709,43.7136,182.0
std_autoaugment,outside15k,segformer_mit-b5,clear_day,51.7952,75.404,84.8596,64.9052,1767.0
std_autoaugment,outside15k,segformer_mit-b5,cloudy,47.6376,76.6162,84.9513,58.6956,174.0
std_autoaugment,outside15k,segformer_mit-b5,dawn_dusk,41.5258,68.8253,79.7543,54.2003,66.0
std_autoaugment,outside15k,segformer_mit-b5,night,42.4887,74.5418,84.2255,53.0758,87.0
std_autoaugment,outside15k,segformer_mit-b5,rainy,47.0882,62.6888,75.5079,60.552,192.0
std_autoaugment,outside15k,segformer_mit-b5,snowy,43.9941,67.8521,78.7294,55.3958,182.0
std_cutmix,bdd10k,deeplabv3plus_r50,clear_day,43.6847,84.3398,91.1425,50.2421,1016.0
std_cutmix,bdd10k,deeplabv3plus_r50,cloudy,46.06,89.7121,94.2721,51.6735,230.0
std_cutmix,bdd10k,deeplabv3plus_r50,dawn_dusk,37.6894,85.6191,91.8332,43.4449,94.0
std_cutmix,bdd10k,deeplabv3plus_r50,night,25.2384,62.7713,76.8948,30.8949,92.0
std_cutmix,bdd10k,deeplabv3plus_r50,rainy,40.9523,81.2661,89.1862,47.962,200.0
std_cutmix,bdd10k,deeplabv3plus_r50,snowy,47.622,84.1527,90.9678,54.9647,221.0
std_cutmix,bdd10k,pspnet_r50,clear_day,42.2669,83.9056,90.9268,49.0403,1016.0
std_cutmix,bdd10k,pspnet_r50,cloudy,45.0288,89.3923,94.1275,50.6199,230.0
std_cutmix,bdd10k,pspnet_r50,dawn_dusk,39.759,85.5662,91.8886,45.3002,94.0
std_cutmix,bdd10k,pspnet_r50,night,28.6942,66.7054,79.7225,34.6477,92.0
std_cutmix,bdd10k,pspnet_r50,rainy,39.6806,80.6608,88.8032,47.6658,200.0
std_cutmix,bdd10k,pspnet_r50,snowy,47.5458,83.5901,90.713,58.0292,221.0
std_cutmix,bdd10k,segformer_mit-b5,clear_day,52.2599,86.231,92.3127,59.9074,1016.0
std_cutmix,bdd10k,segformer_mit-b5,cloudy,54.4303,90.5073,94.7631,60.9055,230.0
std_cutmix,bdd10k,segformer_mit-b5,dawn_dusk,44.3682,86.7899,92.4604,50.7125,94.0
std_cutmix,bdd10k,segformer_mit-b5,night,33.5134,71.3991,83.0849,40.2573,92.0
std_cutmix,bdd10k,segformer_mit-b5,rainy,50.9913,84.6366,91.3661,58.4768,200.0
std_cutmix,bdd10k,segformer_mit-b5,snowy,59.7011,86.616,92.469,69.8811,221.0
std_cutmix,idd-aw,deeplabv3plus_r50,clear_day,44.4861,73.2379,83.5667,54.5986,1650.0
std_cutmix,idd-aw,deeplabv3plus_r50,cloudy,45.8949,88.5423,93.3986,54.952,416.0
std_cutmix,idd-aw,deeplabv3plus_r50,dawn_dusk,43.653,84.9888,91.259,53.9031,112.0
std_cutmix,idd-aw,deeplabv3plus_r50,foggy,50.7342,90.6112,94.7668,60.3218,290.0
std_cutmix,idd-aw,deeplabv3plus_r50,night,36.7575,79.1324,87.3155,48.3646,93.0
std_cutmix,idd-aw,deeplabv3plus_r50,rainy,42.5498,80.4954,88.615,49.9839,204.0
std_cutmix,idd-aw,deeplabv3plus_r50,snowy,40.3928,71.109,83.143,48.183,163.0
std_cutmix,idd-aw,pspnet_r50,clear_day,43.4227,72.7181,83.3274,52.7378,1650.0
std_cutmix,idd-aw,pspnet_r50,cloudy,43.6686,87.9587,93.0908,51.5857,416.0
std_cutmix,idd-aw,pspnet_r50,dawn_dusk,42.2451,84.8005,91.2775,51.0409,112.0
std_cutmix,idd-aw,pspnet_r50,foggy,51.0395,91.1439,95.1121,58.4525,290.0
std_cutmix,idd-aw,pspnet_r50,night,41.6185,80.7692,88.8384,50.3541,93.0
std_cutmix,idd-aw,pspnet_r50,rainy,42.0102,80.0666,88.4522,48.8521,204.0
std_cutmix,idd-aw,pspnet_r50,snowy,41.8206,71.7212,83.6492,48.3187,163.0
std_cutmix,idd-aw,segformer_mit-b5,clear_day,47.1129,74.7098,84.6345,57.149,1650.0
std_cutmix,idd-aw,segformer_mit-b5,cloudy,48.1709,89.1598,93.8182,57.178,416.0
std_cutmix,idd-aw,segformer_mit-b5,dawn_dusk,48.2982,86.8953,92.5647,57.3866,112.0
std_cutmix,idd-aw,segformer_mit-b5,foggy,59.6072,93.371,96.4014,67.9769,290.0
std_cutmix,idd-aw,segformer_mit-b5,night,47.7021,85.5524,91.7705,57.2735,93.0
std_cutmix,idd-aw,segformer_mit-b5,rainy,47.81,82.5317,89.9404,55.9087,204.0
std_cutmix,idd-aw,segformer_mit-b5,snowy,48.9069,78.179,87.6534,56.4136,163.0
std_cutmix,outside15k,deeplabv3plus_r50,clear_day,33.6364,67.4799,78.1078,41.2495,1767.0
std_cutmix,outside15k,deeplabv3plus_r50,cloudy,30.476,66.3534,75.7082,39.0089,174.0
std_cutmix,outside15k,deeplabv3plus_r50,dawn_dusk,18.0375,43.4166,53.6071,29.832,66.0
std_cutmix,outside15k,deeplabv3plus_r50,night,23.33,59.3038,71.5325,30.2756,87.0
std_cutmix,outside15k,deeplabv3plus_r50,rainy,27.3013,44.9896,58.9674,37.1682,192.0
std_cutmix,outside15k,deeplabv3plus_r50,snowy,24.6035,46.0639,60.2963,33.6327,182.0
std_cutmix,outside15k,pspnet_r50,clear_day,36.7495,67.4486,77.9986,45.7305,1767.0
std_cutmix,outside15k,pspnet_r50,cloudy,29.7958,65.5341,75.0308,38.2069,174.0
std_cutmix,outside15k,pspnet_r50,dawn_dusk,18.7107,45.7847,57.9373,30.7047,66.0
std_cutmix,outside15k,pspnet_r50,night,23.9167,59.6924,71.0932,31.7444,87.0
std_cutmix,outside15k,pspnet_r50,rainy,28.6037,44.3399,58.8386,39.4465,192.0
std_cutmix,outside15k,pspnet_r50,snowy,27.5528,44.737,57.3439,38.2716,182.0
std_cutmix,outside15k,segformer_mit-b5,clear_day,51.5658,75.7113,85.1126,64.0025,1767.0
std_cutmix,outside15k,segformer_mit-b5,cloudy,46.838,76.509,85.0883,57.9823,174.0
std_cutmix,outside15k,segformer_mit-b5,dawn_dusk,37.8212,69.2388,79.863,49.3448,66.0
std_cutmix,outside15k,segformer_mit-b5,night,42.7006,74.5878,84.2199,52.4875,87.0
std_cutmix,outside15k,segformer_mit-b5,rainy,45.9167,63.7367,76.5875,58.031,192.0
std_cutmix,outside15k,segformer_mit-b5,snowy,42.6982,67.4797,78.586,53.4628,182.0
std_mixup,bdd10k,deeplabv3plus_r50,clear_day,43.1518,84.0894,90.8614,51.2271,1016.0
std_mixup,bdd10k,deeplabv3plus_r50,cloudy,47.1431,89.2505,93.9501,54.0179,230.0
std_mixup,bdd10k,deeplabv3plus_r50,dawn_dusk,36.6743,84.8026,91.1223,44.7399,94.0
std_mixup,bdd10k,deeplabv3plus_r50,night,25.5724,61.8506,76.0882,33.6937,92.0
std_mixup,bdd10k,deeplabv3plus_r50,rainy,39.6371,79.3126,87.6364,48.4762,200.0
std_mixup,bdd10k,deeplabv3plus_r50,snowy,46.4519,83.0563,90.157,54.5758,221.0
std_mixup,bdd10k,pspnet_r50,clear_day,46.0062,84.5213,91.2226,54.1534,1016.0
std_mixup,bdd10k,pspnet_r50,cloudy,48.636,89.3425,94.0299,56.2577,230.0
std_mixup,bdd10k,pspnet_r50,dawn_dusk,38.7534,85.0945,91.4891,45.3501,94.0
std_mixup,bdd10k,pspnet_r50,night,26.581,61.3791,76.0317,32.0726,92.0
std_mixup,bdd10k,pspnet_r50,rainy,43.5932,79.6992,88.0368,51.9958,200.0
std_mixup,bdd10k,pspnet_r50,snowy,51.4793,83.7544,90.7073,62.934,221.0
std_mixup,bdd10k,segformer_mit-b5,clear_day,51.359,86.0202,92.1754,59.0904,1016.0
std_mixup,bdd10k,segformer_mit-b5,cloudy,53.0312,90.5383,94.8011,59.2198,230.0
std_mixup,bdd10k,segformer_mit-b5,dawn_dusk,42.1673,86.6533,92.3769,49.5095,94.0
std_mixup,bdd10k,segformer_mit-b5,night,34.1982,70.7406,82.6214,40.9364,92.0
std_mixup,bdd10k,segformer_mit-b5,rainy,50.8166,84.5883,91.331,58.3605,200.0
std_mixup,bdd10k,segformer_mit-b5,snowy,59.8743,86.463,92.3904,68.8833,221.0
std_mixup,idd-aw,deeplabv3plus_r50,clear_day,44.4429,73.3098,83.634,54.9789,1650.0
std_mixup,idd-aw,deeplabv3plus_r50,cloudy,44.3244,88.0287,93.0728,54.1441,416.0
std_mixup,idd-aw,deeplabv3plus_r50,dawn_dusk,41.5417,84.461,90.9398,51.0904,112.0
std_mixup,idd-aw,deeplabv3plus_r50,foggy,49.3344,90.5511,94.7518,58.3257,290.0
std_mixup,idd-aw,deeplabv3plus_r50,night,36.2956,79.1035,87.6864,44.9854,93.0
std_mixup,idd-aw,deeplabv3plus_r50,rainy,40.9219,79.9896,88.2513,48.4265,204.0
std_mixup,idd-aw,deeplabv3plus_r50,snowy,41.0337,72.3168,83.8883,48.9695,163.0
std_mixup,idd-aw,pspnet_r50,clear_day,43.6925,72.7646,83.3149,53.5741,1650.0
std_mixup,idd-aw,pspnet_r50,cloudy,44.2245,87.8081,92.9898,52.8453,416.0
std_mixup,idd-aw,pspnet_r50,dawn_dusk,41.9123,84.7149,91.1942,49.7568,112.0
std_mixup,idd-aw,pspnet_r50,foggy,48.4234,90.7581,94.8789,56.4037,290.0
std_mixup,idd-aw,pspnet_r50,night,38.908,80.0177,88.3915,47.3941,93.0
std_mixup,idd-aw,pspnet_r50,rainy,41.5475,79.8488,88.2316,49.1225,204.0
std_mixup,idd-aw,pspnet_r50,snowy,39.8524,71.5874,83.5213,45.81,163.0
std_mixup,idd-aw,segformer_mit-b5,clear_day,46.7205,74.5109,84.4929,56.8841,1650.0
std_mixup,idd-aw,segformer_mit-b5,cloudy,47.5321,88.9416,93.6949,56.586,416.0
std_mixup,idd-aw,segformer_mit-b5,dawn_dusk,46.937,86.5567,92.3858,55.5217,112.0
std_mixup,idd-aw,segformer_mit-b5,foggy,58.4042,93.0757,96.2319,66.9303,290.0
std_mixup,idd-aw,segformer_mit-b5,night,46.9928,84.7704,91.3161,55.9682,93.0
std_mixup,idd-aw,segformer_mit-b5,rainy,46.8572,82.0234,89.636,55.2869,204.0
std_mixup,idd-aw,segformer_mit-b5,snowy,48.7124,77.9267,87.482,56.7911,163.0
std_mixup,outside15k,deeplabv3plus_r50,clear_day,33.1729,66.9362,78.2654,41.5346,1767.0
std_mixup,outside15k,deeplabv3plus_r50,cloudy,31.1956,67.242,77.3979,40.6155,174.0
std_mixup,outside15k,deeplabv3plus_r50,dawn_dusk,19.3794,45.7553,57.9612,31.7201,66.0
std_mixup,outside15k,deeplabv3plus_r50,night,19.7155,54.2665,66.0755,28.2532,87.0
std_mixup,outside15k,deeplabv3plus_r50,rainy,27.1017,46.477,61.3328,37.2607,192.0
std_mixup,outside15k,deeplabv3plus_r50,snowy,25.618,51.3559,65.1426,34.9897,182.0
