strategy,dataset,model,ratio,mIoU,mAcc,aAcc,fwIoU,timestamp,checkpoint_iter,stage
gen_Img2Img,bdd10k,pspnet_r50,0.12,44.30626276474892,51.73165748736296,90.28609029362701,82.99222083083808,1769512253.4417684,0,1
gen_Img2Img,bdd10k,pspnet_r50,0.25,45.5555985868346,52.53154106856584,90.3995713863187,83.10237518935128,1769512270.9662561,0,1
gen_Img2Img,bdd10k,pspnet_r50,0.38,45.418227399864364,52.465812386000465,90.40627980688043,83.12144043912608,1769512275.6295109,0,1
gen_Img2Img,bdd10k,pspnet_r50,0.62,45.64545411816856,52.78101441342393,90.3840255344194,83.09054865616325,1769512293.7332704,0,1
gen_Img2Img,bdd10k,pspnet_r50,0.75,44.167173165086275,51.52352711401856,90.30173077374677,82.97868808920808,1769512287.9908853,0,1
gen_Img2Img,bdd10k,pspnet_r50,0.88,44.197917773036274,51.03152405540572,90.33889880146404,83.00609712805573,1769512316.232454,0,1
gen_Img2Img,bdd10k,segformer_mit-b5,0.0,51.30131127998191,58.8942289278323,91.71068884488884,85.24822044206698,1769512320.4078424,0,1
gen_Img2Img,bdd10k,segformer_mit-b5,0.12,51.41109363317797,58.910851787353444,91.66233059546074,85.1737499640623,1769512334.1724827,0,1
gen_Img2Img,bdd10k,segformer_mit-b5,0.25,50.69907745484774,58.31639329867902,91.55885923122071,85.01442350011821,1769512351.9334269,0,1
gen_Img2Img,bdd10k,segformer_mit-b5,0.38,50.56522811630082,58.152136518635544,91.61203706232229,85.10868343475046,1769512452.409593,0,1
gen_Img2Img,bdd10k,segformer_mit-b5,0.62,50.24828123553409,57.943201925812936,91.55494321245,85.01578436704757,1769512370.7579255,0,1
gen_Img2Img,bdd10k,segformer_mit-b5,0.75,51.029718196443916,58.530227286076396,91.62592704454795,85.12237296670074,1769512361.550991,0,1
gen_Img2Img,bdd10k,segformer_mit-b5,0.88,50.18166102947974,57.63676779830972,91.71685607150745,85.2811056651649,1769512382.123809,0,1
gen_Img2Img,iddaw,pspnet_r50,0.0,36.81457423834993,47.16745599076657,81.87353710507554,71.27198028693377,1769512411.640465,0,1
gen_Img2Img,iddaw,pspnet_r50,0.12,37.13033390268922,47.19570106975367,81.78498832049004,70.47894345638971,1769512406.391179,0,1
gen_Img2Img,iddaw,pspnet_r50,0.25,37.5446873678009,47.109723096650576,82.50604997635324,72.27903019678317,1769512425.948851,0,1
gen_Img2Img,iddaw,pspnet_r50,0.38,37.05227993039505,47.342256713430956,82.3779042914915,71.74890495383636,1769512426.3998518,0,1
gen_Img2Img,iddaw,pspnet_r50,0.62,38.0205580427646,47.61886713268474,82.93533790657523,72.2826917731354,1769512446.9593468,0,1
gen_Img2Img,iddaw,pspnet_r50,0.75,38.0876761787928,47.6193194554534,82.98007243614735,72.34305549418933,1769512474.8056097,0,1
gen_Img2Img,iddaw,pspnet_r50,0.88,37.9347122368685,47.609682638715526,83.09216099530423,72.52950351404884,1769512470.2744653,0,1
gen_Img2Img,iddaw,segformer_mit-b5,0.0,43.20728273618193,53.0925951215043,86.38191015493774,77.53846456101601,1769512495.4510224,0,1
gen_Img2Img,iddaw,segformer_mit-b5,0.12,43.14976678497771,53.21709564147423,86.28364274783459,77.39467700310347,1769512508.3886244,0,1
gen_Img2Img,iddaw,segformer_mit-b5,0.25,42.957711715463184,52.83066113078774,86.251828410725,77.33890185151013,1769512529.8772798,0,1
gen_Img2Img,iddaw,segformer_mit-b5,0.38,43.14166693482843,53.09089171051603,86.34522129793342,77.49131548412689,1769512552.1425989,0,1
gen_Img2Img,iddaw,segformer_mit-b5,0.62,43.22174061556538,53.05119249997507,86.33568669991027,77.42809838374686,1769512663.0681615,0,1
gen_Img2Img,iddaw,segformer_mit-b5,0.75,43.153215245220814,53.03077232319716,86.36833066810861,77.50576002029187,1769512560.668742,0,1
gen_Img2Img,iddaw,segformer_mit-b5,0.88,43.14960973473531,53.03735861834934,86.23845804263959,77.30279522540374,1769512570.0159528,0,1
gen_cycleGAN,bdd10k,pspnet_r50,0.0,45.125066404426896,52.05933582172673,90.33763535328198,82.9995188360158,1769508680.014162,0,1
gen_cycleGAN,bdd10k,pspnet_r50,0.12,44.15942677542864,50.6995780968592,90.28386243237419,82.91733000538332,1769508535.907522,0,1
gen_cycleGAN,bdd10k,pspnet_r50,0.25,44.85794036376712,51.8335226895932,90.34589085831907,83.01540092043102,1769508558.3692355,0,1
gen_cycleGAN,bdd10k,pspnet_r50,0.38,45.63318575709889,52.41834191797846,90.41438008189712,83.1086871138194,1769508541.2810996,0,1
gen_cycleGAN,bdd10k,pspnet_r50,0.62,45.337849678075564,52.0072660400848,90.47860184593827,83.20910720044306,1769508551.8459122,0,1
gen_cycleGAN,bdd10k,pspnet_r50,0.75,44.945459900440824,51.70862668831692,90.35248552632184,83.00153201084541,1769508566.4520555,0,1
gen_cycleGAN,bdd10k,pspnet_r50,0.88,45.030724795446524,52.75433319122954,90.36188029552467,83.09472207378344,1769508575.733837,0,1
gen_cycleGAN,bdd10k,segformer_mit-b5,0.0,50.621273559580125,58.25960921666975,91.67025452917424,85.19889216253543,1769508597.7919776,0,1
gen_cycleGAN,bdd10k,segformer_mit-b5,0.12,50.160345141145555,57.66755831882945,91.59947088171062,85.09258457364987,1769508618.1018348,0,1
gen_cycleGAN,bdd10k,segformer_mit-b5,0.25,50.80197968628924,58.276908945151575,91.56592604685356,85.02353361611401,1769508608.7974875,0,1
gen_cycleGAN,bdd10k,segformer_mit-b5,0.38,50.73854283435067,58.4930484070122,91.6465090550452,85.17184306403263,1769508617.7981207,0,1
gen_cycleGAN,bdd10k,segformer_mit-b5,0.62,50.71995114017091,58.30935878485237,91.54185496223371,84.98629219568289,1769508644.689357,0,1
gen_cycleGAN,bdd10k,segformer_mit-b5,0.75,49.739708345278764,57.088648101290396,91.6356004826834,85.14464542316348,1769508649.8845823,0,1
gen_cycleGAN,bdd10k,segformer_mit-b5,0.88,50.87162410212622,58.437756867306234,91.6999717642802,85.25753166345721,1769508872.7067888,0,1
gen_cycleGAN,iddaw,pspnet_r50,0.0,37.11691016069269,46.48044474341661,81.13903177550186,69.31329470795184,1768688860.6523454,0,1
gen_cycleGAN,iddaw,pspnet_r50,0.12,37.313283932149524,47.22951867247631,81.88134765213223,70.97826770164534,1768688863.9389236,0,1
gen_cycleGAN,iddaw,pspnet_r50,0.25,37.454980214712315,47.20752280499041,82.32547890682727,71.54055980252025,1768688867.3255546,0,1
gen_cycleGAN,iddaw,pspnet_r50,0.38,37.39674051002358,47.08235056161602,82.15284948279954,71.29547385617525,1768689437.2409375,0,1
gen_cycleGAN,iddaw,pspnet_r50,0.62,38.057313043974276,47.77848519314583,83.66698994396629,73.60204724054593,1768688962.7785022,0,1
gen_cycleGAN,iddaw,pspnet_r50,0.75,38.269688055705096,47.94951580682783,83.22044903299805,72.80877210258205,1768688959.3098361,0,1
gen_cycleGAN,iddaw,pspnet_r50,0.88,37.3299932291287,46.886032596572505,82.39369465772253,71.32995416913074,1768688975.9810681,0,1
gen_cycleGAN,iddaw,segformer_mit-b5,0.0,43.27334599470869,53.13529609513296,86.34333086449011,77.45544493559949,1768688967.3675542,0,1
gen_cycleGAN,iddaw,segformer_mit-b5,0.12,43.2534192487664,53.10629959678368,86.40529814732275,77.55590355541335,1768689056.1121914,0,1
gen_cycleGAN,iddaw,segformer_mit-b5,0.25,43.06771149493551,53.04686045652448,86.22705475952246,77.30430446178494,1768689060.379234,0,1
gen_cycleGAN,iddaw,segformer_mit-b5,0.38,43.04167777977136,52.882119424807016,86.25052670357766,77.33035370906329,1768689066.5170763,0,1
gen_cycleGAN,iddaw,segformer_mit-b5,0.62,43.12634512379102,53.07893980189176,86.30924253213963,77.39325008017458,1768689066.2007096,0,1
gen_cycleGAN,iddaw,segformer_mit-b5,0.75,43.06107992610331,52.973637777943075,86.29605938236224,77.39111974616954,1768689151.6487942,0,1
gen_cycleGAN,iddaw,segformer_mit-b5,0.88,42.91727170175944,52.978310182306664,86.19701709525958,77.26854085612065,1768689157.9767141,0,1
gen_cycleGAN,outside15k,pspnet_r50,0.0,35.39668189305939,45.19255973590855,75.09216080168764,63.664954783569804,1768689710.6181242,0,1
gen_cycleGAN,outside15k,pspnet_r50,0.12,35.15285136635761,45.399620978762066,75.03443430521769,63.45732428349983,1768689789.455166,0,1
gen_cycleGAN,outside15k,pspnet_r50,0.25,35.065676371684226,44.87977701344576,74.49300084523335,63.28044877305183,1768690431.232218,0,1
gen_cycleGAN,outside15k,pspnet_r50,0.38,35.68665810830915,45.659891221826136,74.57077163422179,63.36740122170451,1768690625.1427453,0,1
gen_cycleGAN,outside15k,pspnet_r50,0.62,34.95872928060292,45.11586155082497,74.88354787617149,63.52119625571395,1768689822.3435905,0,1
gen_cycleGAN,outside15k,pspnet_r50,0.75,35.29721864444733,45.33408545074798,74.99895807749735,63.81402355622852,1768689834.8692458,0,1
gen_cycleGAN,outside15k,pspnet_r50,0.88,34.18295938122879,43.792553340068515,73.97277040157965,62.52979186413585,1768690552.4820132,0,1
gen_cycleGAN,outside15k,segformer_mit-b5,0.0,48.70452194878988,61.06961026357205,82.57260945028888,72.30728884359658,1768689863.7608533,0,1
gen_cycleGAN,outside15k,segformer_mit-b5,0.12,48.23484667356516,60.87254966859356,82.48700246601524,72.20469784337836,1768689878.4029098,0,1
gen_cycleGAN,outside15k,segformer_mit-b5,0.25,48.12163390810431,60.61132410490767,82.45744366369799,72.17664444424305,1768689876.5509315,0,1
gen_cycleGAN,outside15k,segformer_mit-b5,0.38,48.26771982327707,61.01696497410754,82.46970125301155,72.1330275281866,1768689917.8231978,0,1
gen_cycleGAN,outside15k,segformer_mit-b5,0.62,48.642370191768876,61.19345780153166,82.48292172978262,72.09056194226766,1768689934.5319648,0,1
gen_cycleGAN,outside15k,segformer_mit-b5,0.75,48.592985210311674,61.26595692699951,82.69881425503485,72.37071325012462,1768689958.5237782,0,1
gen_cycleGAN,outside15k,segformer_mit-b5,0.88,48.17636743021449,61.15969325928222,82.5680290724703,72.29405431854867,1768689968.6371436,0,1
gen_cyclediffusion,bdd10k,pspnet_r50,0.0,45.59699377693997,52.879382871334116,90.49689986400733,83.29611996572363,1769508653.0086486,0,1
gen_cyclediffusion,bdd10k,pspnet_r50,0.12,43.86872012156801,50.76173336713475,90.31162376922308,83.01415559501501,1769508670.0678856,0,1
gen_cyclediffusion,bdd10k,pspnet_r50,0.25,45.320774945579586,52.79595114279113,90.38430569356022,83.08173424797536,1769508678.1736298,0,1
gen_cyclediffusion,bdd10k,pspnet_r50,0.38,45.14675558297319,52.257864429201426,90.40029935302239,83.1420672992659,1769508682.0383,0,1
gen_cyclediffusion,bdd10k,pspnet_r50,0.62,44.39194373840395,51.60355479676092,90.25905096264904,82.95554409025148,1769508685.0239036,0,1
gen_cyclediffusion,bdd10k,pspnet_r50,0.75,45.65691796128384,52.93520252943665,90.34317172509768,83.0054160963667,1769508720.7467499,0,1
gen_cyclediffusion,bdd10k,pspnet_r50,0.88,45.29304477411607,52.42942587635739,90.356693874267,83.05813965796366,1769508714.060199,0,1
gen_cyclediffusion,bdd10k,segformer_mit-b5,0.12,51.05149395589568,58.70088133722947,91.64233547862463,85.15075285762684,1769508723.9266357,0,1
gen_cyclediffusion,bdd10k,segformer_mit-b5,0.38,51.143009353319044,58.73347035128829,91.63485860736989,85.14319358691344,1769512578.4541686,0,1
gen_cyclediffusion,bdd10k,segformer_mit-b5,0.62,49.75927130665838,57.30026849610231,91.61380817476308,85.10569521166259,1769508729.61405,0,1
gen_cyclediffusion,bdd10k,segformer_mit-b5,0.75,50.774175623439156,58.26922725533079,91.63374790552791,85.12628393907178,1769512614.0501535,0,1
gen_cyclediffusion,bdd10k,segformer_mit-b5,0.88,51.09890757058268,58.80091954194951,91.5721635616254,85.03532065673339,1769512614.8680596,0,1
gen_cyclediffusion,iddaw,pspnet_r50,0.0,37.45263315822558,47.006085974783154,82.41908638788836,71.43573971816485,1768689986.3617392,0,1
gen_cyclediffusion,iddaw,pspnet_r50,0.12,36.9778408856955,46.3399764575773,82.21656682336605,71.10404777149046,1768690023.3404148,0,1
gen_cyclediffusion,iddaw,pspnet_r50,0.25,37.56062083677129,46.96554392264922,82.5626805488459,71.75655856427484,1768690056.1254978,0,1
gen_cyclediffusion,iddaw,pspnet_r50,0.38,37.931560504929344,47.80795978612416,82.74483133938358,72.19636459934901,1768690068.9927182,0,1
gen_cyclediffusion,iddaw,pspnet_r50,0.62,37.03529941924493,46.8412304644842,81.81958614214342,70.53321764659458,1768690072.9134583,0,1
gen_cyclediffusion,iddaw,pspnet_r50,0.75,37.36571026631625,47.04581289193349,82.18960966830626,71.14967319223969,1768690089.196327,0,1
gen_cyclediffusion,iddaw,pspnet_r50,0.88,37.67387356419265,47.32310842719289,82.19221049713282,71.07465687698807,1769508874.5932734,0,1
gen_cyclediffusion,iddaw,segformer_mit-b5,0.0,43.30032542575527,53.11169542331968,86.31082362192858,77.39844773801318,1768690119.0491118,0,1
gen_cyclediffusion,iddaw,segformer_mit-b5,0.12,43.17641804008982,53.03622529376649,86.30179030054492,77.39918774377065,1768690144.7639127,0,1
gen_cyclediffusion,iddaw,segformer_mit-b5,0.25,43.09575640539324,53.02635585386105,86.31141751916077,77.44069937546281,1768690158.9055135,0,1
gen_cyclediffusion,iddaw,segformer_mit-b5,0.38,43.29198302832493,53.12056733406179,86.25748191695092,77.33714606021842,1769512636.4627872,0,1
gen_cyclediffusion,iddaw,segformer_mit-b5,0.62,43.01944759345049,53.02691285020641,86.25514799968454,77.38018207378417,1769512637.8915253,0,1
gen_cyclediffusion,iddaw,segformer_mit-b5,0.75,43.08904009448922,52.97934519561035,86.24495730110833,77.34792439924362,1769512694.1787958,0,1
gen_cyclediffusion,iddaw,segformer_mit-b5,0.88,43.19535983453771,53.167251656854035,86.07980505083817,76.97990660699709,1769512673.708172,0,1
gen_flux_kontext,bdd10k,pspnet_r50,0.0,45.20959811440674,51.970859960367264,90.37993714823402,83.08431262831556,1769520965.4175057,0,1
gen_flux_kontext,bdd10k,pspnet_r50,0.12,44.38723370621398,51.549190240427556,90.25026072123768,82.88958542507577,1769520967.862856,0,1
gen_flux_kontext,bdd10k,pspnet_r50,0.25,44.919024094513624,51.93634915133977,90.32182250574758,83.00550958826467,1769520982.926149,0,1
gen_flux_kontext,bdd10k,pspnet_r50,0.38,45.12716791935724,51.997120766334874,90.39577557767579,83.13316620329262,1769520988.896624,0,1
gen_flux_kontext,bdd10k,pspnet_r50,0.62,45.00241680230899,51.92777041109649,90.29507277189566,82.96461961520852,1769520988.2627246,0,1
gen_flux_kontext,bdd10k,pspnet_r50,0.75,45.55205102564206,52.662563075775715,90.39400347176287,83.09953199497804,1769520995.7340276,0,1
gen_flux_kontext,bdd10k,pspnet_r50,0.88,44.04563462868028,50.72420514028215,90.28019801042055,82.93384175330229,1769520995.3637369,0,1
gen_flux_kontext,bdd10k,segformer_mit-b5,0.0,51.049104667085,58.696872940622555,91.55190343609846,84.99245930651719,1769521009.3251326,0,1
gen_flux_kontext,bdd10k,segformer_mit-b5,0.12,50.8768897022382,58.457172070158926,91.58474042206248,85.05905612575263,1769521028.5383747,0,1
gen_flux_kontext,bdd10k,segformer_mit-b5,0.25,50.8383052527687,58.49671099339464,91.68105878696234,85.2211842220833,1769521023.7147057,0,1
gen_flux_kontext,bdd10k,segformer_mit-b5,0.38,50.35282921447678,58.04937542791231,91.57507989906473,85.05608621189135,1769521029.432162,0,1
gen_flux_kontext,bdd10k,segformer_mit-b5,0.75,51.41595159836152,58.9013115725204,91.74833895495748,85.3001432159582,1769521032.455647,0,1
gen_flux_kontext,bdd10k,segformer_mit-b5,0.88,51.19494469361581,58.79940820652808,91.57157070713147,85.02432967014492,1769521032.4251368,0,1
gen_flux_kontext,iddaw,pspnet_r50,0.0,37.162717233365605,46.99752127911827,80.90663575825731,69.35809019819048,1769521043.0174348,0,1
gen_flux_kontext,iddaw,pspnet_r50,0.12,37.014592949920385,46.64530862902055,81.27700877887331,70.35544536088297,1769521040.5568166,0,1
