strategy,dataset,model,ratio,iteration,mIoU,aAcc,fwIoU,num_images,timestamp,mIoU_clear_day,mIoU_cloudy,mIoU_dawn_dusk,mIoU_foggy,mIoU_night,mIoU_rainy,mIoU_snowy,best_mIoU,is_best
gen_LANIT,idd-aw,pspnet_r50,0.0,30000,67.12453939061108,97.43711364882547,95.29802516113493,2928,20260104_221644,67.36910505568221,67.68588603038955,57.98303429787486,59.70310098386737,56.44415905023915,58.21724386379128,51.61100599078272,75.0483394431206,False
gen_LANIT,idd-aw,pspnet_r50,0.0,40000,67.949389932761,97.39576907345293,95.23428270958976,2928,20260104_221947,67.62309559698348,70.51784764497715,57.217250469469526,64.8058966816242,58.4731766503198,60.915187936175876,51.27059764533293,75.0483394431206,False
gen_LANIT,idd-aw,pspnet_r50,0.0,50000,67.77584888981313,97.37871493592529,95.26270823677368,2928,20260104_222242,67.10035855706245,70.3931120639453,57.5655376274071,67.37831356243757,60.337266980136974,60.06320225056487,54.93998465058567,75.0483394431206,False
gen_LANIT,idd-aw,pspnet_r50,0.0,60000,71.28256046706484,97.96917614960799,96.264424451878,2928,20260104_222537,70.7206934978557,73.18796318052081,63.21151741927351,70.69792343924813,64.85687159517327,63.558826689452964,55.37191178976142,75.0483394431206,False
gen_LANIT,idd-aw,pspnet_r50,0.0,70000,71.78161836027508,98.05182481545698,96.40945958076284,2928,20260104_222827,72.5392543338598,70.80984683833084,66.12321218674549,66.27827590628543,66.02409864796313,66.79418313983632,55.92166105462479,75.0483394431206,False
gen_LANIT,idd-aw,pspnet_r50,0.0,80000,75.0483394431206,98.34518636959515,96.91343016432229,2928,20260104_223131,76.12103215638497,74.14096388171241,67.52608525056094,71.87326163143612,69.13533987664044,67.92529429358947,60.682973943499775,75.0483394431206,True
gen_LANIT,idd-aw,pspnet_r50,0.12,10000,61.923564045245016,96.50568963983763,93.70217325152338,2928,20260104_220242,61.14917750162731,65.62035306202219,46.25480165697105,60.98418376075541,49.949176369399325,50.80647882435343,47.588925098797006,78.35056901663427,False
gen_LANIT,idd-aw,pspnet_r50,0.12,20000,64.60809709636457,96.8070861963173,94.31779514276153,2928,20260104_221507,65.00367079793126,68.2579949760787,54.76692183888324,63.01217221323216,53.657512073291144,52.69829035756744,39.49645216036875,78.35056901663427,False
gen_LANIT,idd-aw,pspnet_r50,0.12,30000,67.60098869152682,97.38447628650941,95.22162666907516,2928,20260104_222736,67.20875111274309,70.20129716047725,56.31592089091271,64.86503906957225,61.975612148808466,57.52006835778568,51.577409475766046,78.35056901663427,False
gen_LANIT,idd-aw,pspnet_r50,0.12,40000,68.90090055437452,97.55278149604337,95.5044065046292,2928,20260104_223951,68.95216068956678,69.73749099551819,61.216620581729146,63.34791507145583,62.64703187302545,62.019831628013996,51.72804025954546,78.35056901663427,False
gen_LANIT,idd-aw,pspnet_r50,0.12,50000,72.13608721565258,98.06464353311388,96.4213945553132,2928,20260104_225158,71.52431438913382,72.81830433537395,65.47870966485152,70.067154412061,66.64702772879696,66.29382857064441,61.51948539946097,78.35056901663427,False
gen_LANIT,idd-aw,pspnet_r50,0.12,60000,71.56886700379029,97.931269291709,96.22660880575505,2928,20260104_230522,71.96652308551012,72.7021469753546,62.743456383454685,70.78092036918315,65.08672837386035,64.10095117201266,58.10933580779226,78.35056901663427,False
gen_LANIT,idd-aw,pspnet_r50,0.12,70000,73.4524110810742,98.07433141880593,96.47329364392613,2928,20260104_231744,74.81870731138494,71.33303408033824,67.08210972307444,67.59418271706892,67.52672597855972,66.833088711093,57.64569773920514,78.35056901663427,False
gen_LANIT,idd-aw,pspnet_r50,0.12,80000,78.35056901663427,98.39545161688802,96.99634659488596,2928,20260104_233025,79.39941745137533,76.772280445993,69.12855212406764,75.7474609788238,71.38611267008513,68.6995785197175,66.16334146166037,78.35056901663427,True
gen_LANIT,idd-aw,pspnet_r50,0.25,10000,54.49494261002725,95.15434979095174,91.5714197405751,2928,20260104_215453,53.96378838262525,57.353299244701425,37.01570207284423,48.63082717002162,42.719157870936655,38.24313239539332,35.12276658710907,73.12161801207456,False
gen_LANIT,idd-aw,pspnet_r50,0.25,20000,60.61449050669568,96.07113826009362,93.08686623584475,2928,20260104_220516,60.750336493848046,62.52812849533797,42.38544553808092,53.39288736842448,49.03241829326837,49.513774431944434,39.424591474655124,73.12161801207456,False
gen_LANIT,idd-aw,pspnet_r50,0.25,30000,64.88138209878254,97.15941375171457,94.86061609110934,2928,20260104_221522,64.99146095425937,64.67326789085621,52.777424382169116,57.088361642580445,56.21535268080567,56.61168314830958,49.91572927307884,73.12161801207456,False
gen_LANIT,idd-aw,pspnet_r50,0.25,40000,66.66998191848549,97.18734133263233,94.8395080375639,2928,20260104_222600,66.67971442782296,69.48375955293413,57.26713948025983,65.07293708678083,59.36732394376993,54.53879538676411,50.40296148338048,73.12161801207456,False
gen_LANIT,idd-aw,pspnet_r50,0.25,50000,68.71549112145044,97.61503277164871,95.66023767913569,2928,20260104_223605,68.10455832141159,71.34246801113984,59.57792805788815,68.2338362589172,62.87317209106291,59.92144088064981,55.02924292689588,73.12161801207456,False
gen_LANIT,idd-aw,pspnet_r50,0.25,60000,65.82360310919879,97.21851670188144,95.02867094354053,2928,20260104_224623,65.8425310772964,66.83154507860328,55.16314647413802,59.3543803926891,57.123640184363836,55.16065170215276,48.7301410491409,73.12161801207456,False
gen_LANIT,idd-aw,pspnet_r50,0.25,70000,71.42775523164191,98.02885538477733,96.36685495385687,2928,20260104_225704,70.92085791007999,73.07349755225395,63.49584422176161,70.37293339698051,63.67017464247326,62.0926793225653,59.86219272220232,73.12161801207456,False
gen_LANIT,idd-aw,pspnet_r50,0.25,80000,73.12161801207456,98.21597807398005,96.6798425366726,2928,20260104_230652,72.90819655201311,74.60545476510293,64.90533164549946,72.79268886514944,67.27810634012134,66.40692242153298,57.85556797519499,73.12161801207456,True
gen_LANIT,idd-aw,pspnet_r50,0.38,10000,62.21665430291953,96.57043148627325,93.80487356868127,2928,20260104_214748,62.11174001712638,63.79840775188188,49.58764116324037,54.96909554091719,51.5798390899048,51.636238112691366,42.088401803433285,77.9007218077,False
gen_LANIT,idd-aw,pspnet_r50,0.38,20000,63.7219339644767,96.85031956702753,94.35574744633111,2928,20260104_215048,64.43278072123738,63.73350187406244,54.54099598801072,53.68441980512183,54.04295353350746,54.69596159338934,39.75640663707834,77.9007218077,False
gen_LANIT,idd-aw,pspnet_r50,0.38,30000,68.135975833418,97.56496395107396,95.54605289747644,2928,20260104_215345,67.71560383686473,69.13538589436993,58.00703592095577,64.08998292255595,60.34896745055747,60.27537238179548,53.998509665403226,77.9007218077,False
gen_LANIT,idd-aw,pspnet_r50,0.38,40000,68.59091592125596,97.50870493990455,95.42615599563364,2928,20260104_215643,68.39297738404078,70.28735324090192,59.96685537895292,65.23228125237873,61.828122653507165,61.07651882964073,52.79013475270066,77.9007218077,False
gen_LANIT,idd-aw,pspnet_r50,0.38,50000,70.88530548674687,97.87463841927173,96.10067828150784,2928,20260104_215946,70.24320311318732,72.45946961941331,63.52888662519477,68.49184644239418,65.76650688114218,64.90958534253473,58.29818719528013,77.9007218077,False
gen_LANIT,idd-aw,pspnet_r50,0.38,60000,73.10891115854479,98.12749658421185,96.55545262818173,2928,20260104_220235,73.38129158446331,72.78601393927299,65.7438710141792,68.84362973231266,66.29519800880668,66.71699191809196,60.3307302266163,77.9007218077,False
gen_LANIT,idd-aw,pspnet_r50,0.38,70000,75.5791088890687,98.25748858744524,96.76753588736993,2928,20260104_220531,76.84271337575943,75.05370632627688,68.26408001048037,72.56235202876378,69.15927979367608,66.52132634453505,62.83580611019091,77.9007218077,False
gen_LANIT,idd-aw,pspnet_r50,0.38,80000,77.9007218077,98.33200078880571,96.88674996505064,2928,20260104_220829,78.91250380537615,76.31123857987473,68.28529242386323,75.32606268436197,70.03529932211498,67.37496316650679,64.5228826275928,77.9007218077,True
gen_LANIT,idd-aw,pspnet_r50,0.62,10000,51.59432675177518,94.02124352457207,89.5225749044664,2928,20260104_214740,52.768546380002675,49.341990971723206,30.402036725665948,36.275374406529494,32.124072854388544,37.201905190406464,35.49746038738688,75.06480335042379,False
gen_LANIT,idd-aw,pspnet_r50,0.62,20000,63.890883658587384,96.77773864515495,94.24059228163509,2928,20260104_215046,63.87785800451733,65.99036761964179,52.21497954114405,58.59324841275204,56.04332364239306,54.24340195347415,40.175876811519,75.06480335042379,False
gen_LANIT,idd-aw,pspnet_r50,0.62,30000,65.66509098256567,97.2469415972636,95.01767267584326,2928,20260104_215338,66.16940152435082,65.88359836917891,56.75667810603328,55.82831912934968,54.35235394143801,58.19904673847206,45.56775620584194,75.06480335042379,False
gen_LANIT,idd-aw,pspnet_r50,0.62,40000,66.72353242163447,97.22444548999883,94.94390957541931,2928,20260104_215636,66.9681171138681,67.5166269128239,57.32263743898647,60.19948176231252,58.47303548239411,58.12193915803625,45.83430440934519,75.06480335042379,False
gen_LANIT,idd-aw,pspnet_r50,0.62,50000,70.17912199802203,97.80365140275292,95.97434701921775,2928,20260104_215925,69.99255551777823,69.9316656071945,63.467245174961505,64.88183235183472,64.26993619989487,63.07075338799096,56.61972672171507,75.06480335042379,False
gen_LANIT,idd-aw,pspnet_r50,0.62,60000,71.03108851460075,97.96613728333303,96.25043511882106,2928,20260104_220215,70.75989730558486,71.17221602006832,62.56763034810899,67.8945449257338,62.38430112213382,63.996495333871216,58.7619175034603,75.06480335042379,False
