strategy,dataset,model,test_type,result_type,result_dir,timestamp,mIoU,mAcc,aAcc,fwIoU,num_images,has_per_domain,has_per_class,per_domain_metrics
baseline,bdd10k,segnext_mscan-b_ratio1p0,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/bdd10k/segnext_mscan-b_ratio1p0/test_results_detailed/20260202_112629,20260202_112629,49.842400241113374,56.93468260457861,91.82826378786261,85.43651468409338,1857,True,True,"{'clear_day': {'mIoU': 50.89029754387827, 'mAcc': 58.38242149128984, 'aAcc': 91.99042331924119, 'fwIoU': 85.7104474365557}, 'cloudy': {'mIoU': 52.078661669890344, 'mAcc': 59.5838830014813, 'aAcc': 94.48478953422735, 'fwIoU': 90.01127076552655}, 'dawn_dusk': {'mIoU': 40.79337160933003, 'mAcc': 48.074349091501404, 'aAcc': 92.29815083570409, 'fwIoU': 86.5428171050105}, 'foggy': {'mIoU': 64.16225280087973, 'mAcc': 71.87004100466253, 'aAcc': 97.03565028687919, 'fwIoU': 94.9890260706692}, 'night': {'mIoU': 33.76236784777389, 'mAcc': 39.92975210732863, 'aAcc': 82.24248479086617, 'fwIoU': 70.52164744880365}, 'rainy': {'mIoU': 49.54041413959051, 'mAcc': 56.304347820691625, 'aAcc': 91.26089161528628, 'fwIoU': 84.44748822019538}, 'snowy': {'mIoU': 60.08012114727952, 'mAcc': 68.96056511435599, 'aAcc': 91.89163707281426, 'fwIoU': 85.6437974624679}}"
baseline,idd-aw,deeplabv3plus_r50_ratio1p0,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/idd-aw/deeplabv3plus_r50_ratio1p0/test_results_detailed/20260202_112726,20260202_112726,39.20601361725304,47.753637701913284,85.3948123479797,75.68875514133606,2928,True,True,"{'clear_day': {'mIoU': 40.02303030668029, 'mAcc': 49.310037313811684, 'aAcc': 81.61098376253152, 'fwIoU': 70.10172705456998}, 'cloudy': {'mIoU': 39.85559250375153, 'mAcc': 47.49855331150828, 'aAcc': 91.94837795733778, 'fwIoU': 86.02891729193139}, 'dawn_dusk': {'mIoU': 36.10768728379218, 'mAcc': 42.75573445315446, 'aAcc': 90.233861855714, 'fwIoU': 83.04298336140064}, 'foggy': {'mIoU': 42.913637676750874, 'mAcc': 50.98822193754911, 'aAcc': 93.63982214030365, 'fwIoU': 88.70153801302251}, 'night': {'mIoU': 34.83613025216708, 'mAcc': 43.97320273135653, 'aAcc': 88.05897537225158, 'fwIoU': 79.61865261565565}, 'rainy': {'mIoU': 35.89498042843634, 'mAcc': 42.93364760079485, 'aAcc': 86.45924912928473, 'fwIoU': 76.98750050650582}, 'snowy': {'mIoU': 33.68755909722891, 'mAcc': 39.26618813411527, 'aAcc': 83.03976586405071, 'fwIoU': 71.0448690985465}}"
baseline,idd-aw,hrnet_hr48_ratio1p0,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/idd-aw/hrnet_hr48_ratio1p0/test_results_detailed/20260202_112832,20260202_112832,38.748552197429206,47.521091168166734,85.02534439328656,75.21526283262267,2928,True,True,"{'clear_day': {'mIoU': 39.39191929916051, 'mAcc': 48.848166573162224, 'aAcc': 81.05207092339953, 'fwIoU': 69.38644236548475}, 'cloudy': {'mIoU': 39.53174626965545, 'mAcc': 47.284989642392375, 'aAcc': 91.77537369529716, 'fwIoU': 85.7862166980074}, 'dawn_dusk': {'mIoU': 34.76340708421441, 'mAcc': 42.23014087470176, 'aAcc': 89.75390226124482, 'fwIoU': 82.37475149922984}, 'foggy': {'mIoU': 42.5609132114138, 'mAcc': 49.63186852387855, 'aAcc': 93.54712115580708, 'fwIoU': 88.5632148857707}, 'night': {'mIoU': 35.289988624219006, 'mAcc': 43.21021077861872, 'aAcc': 88.07202956006202, 'fwIoU': 79.56692555727315}, 'rainy': {'mIoU': 36.16463258745925, 'mAcc': 42.92132520764877, 'aAcc': 86.48195955449712, 'fwIoU': 77.01806567467395}, 'snowy': {'mIoU': 33.492597085494566, 'mAcc': 40.010264766988925, 'aAcc': 82.8955729996583, 'fwIoU': 70.95466979160939}}"
baseline,idd-aw,pspnet_r50_ratio1p0,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/idd-aw/pspnet_r50_ratio1p0/test_results_detailed/20260202_113203,20260202_113203,37.56047462149078,46.0260134771914,84.56586640826991,74.5051190174469,2928,True,True,"{'clear_day': {'mIoU': 38.20107764434982, 'mAcc': 47.441074986283674, 'aAcc': 80.44884066524541, 'fwIoU': 68.52171640632812}, 'cloudy': {'mIoU': 38.53141730677988, 'mAcc': 46.21250732103347, 'aAcc': 91.4804219378046, 'fwIoU': 85.27936957002483}, 'dawn_dusk': {'mIoU': 35.2234943101738, 'mAcc': 41.532450356655595, 'aAcc': 89.94648069901932, 'fwIoU': 82.48968480193777}, 'foggy': {'mIoU': 40.948146746625355, 'mAcc': 48.111825595773716, 'aAcc': 93.43229594125444, 'fwIoU': 88.37896291574576}, 'night': {'mIoU': 31.843877619076856, 'mAcc': 39.31778403035556, 'aAcc': 87.99813793094629, 'fwIoU': 79.54896288101358}, 'rainy': {'mIoU': 34.889977398900726, 'mAcc': 41.31515972351477, 'aAcc': 85.95576285083784, 'fwIoU': 76.17834456892234}, 'snowy': {'mIoU': 32.62091775771309, 'mAcc': 38.49808624780786, 'aAcc': 82.10837309502848, 'fwIoU': 69.69567458764507}}"
baseline,idd-aw,segformer_mit-b3_ratio1p0,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/idd-aw/segformer_mit-b3_ratio1p0/test_results_detailed/20260202_113203,20260202_113203,44.42168587900699,53.30423982813809,87.33442808643278,78.6307141321271,2928,True,True,"{'clear_day': {'mIoU': 44.8203467639329, 'mAcc': 54.530709987679536, 'aAcc': 83.63285232689466, 'fwIoU': 73.06477392038218}, 'cloudy': {'mIoU': 44.27877103932168, 'mAcc': 52.22994461637583, 'aAcc': 92.96735388072884, 'fwIoU': 87.65818519146504}, 'dawn_dusk': {'mIoU': 44.098154167431055, 'mAcc': 52.00501709171645, 'aAcc': 91.84609131556041, 'fwIoU': 85.58911825769965}, 'foggy': {'mIoU': 51.14756238456536, 'mAcc': 58.83599745607198, 'aAcc': 95.27031831027301, 'fwIoU': 91.39513023738517}, 'night': {'mIoU': 43.48636207841069, 'mAcc': 52.51334097232352, 'aAcc': 90.82760471900363, 'fwIoU': 83.85161065811866}, 'rainy': {'mIoU': 44.691168957368596, 'mAcc': 51.81267702877166, 'aAcc': 88.91629463860887, 'fwIoU': 80.86681471703791}, 'snowy': {'mIoU': 46.600892629112366, 'mAcc': 53.16203773149917, 'aAcc': 86.58925865941349, 'fwIoU': 76.42117082650401}}"
baseline,idd-aw,segnext_mscan-b_ratio1p0,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/idd-aw/segnext_mscan-b_ratio1p0/test_results_detailed/20260202_113203,20260202_113203,44.15376428345621,53.06571024871797,87.07604705013564,78.23167252056467,2928,True,True,"{'clear_day': {'mIoU': 44.535167887491745, 'mAcc': 54.230652388816246, 'aAcc': 83.38203083113389, 'fwIoU': 72.68848302304733}, 'cloudy': {'mIoU': 44.31223476620333, 'mAcc': 52.54131628079699, 'aAcc': 92.88139109250969, 'fwIoU': 87.528636189785}, 'dawn_dusk': {'mIoU': 41.91356406046734, 'mAcc': 49.860719408282314, 'aAcc': 91.52975654804182, 'fwIoU': 85.06847550846187}, 'foggy': {'mIoU': 52.15111259553894, 'mAcc': 60.310193898424615, 'aAcc': 95.16971581504214, 'fwIoU': 91.21921138577403}, 'night': {'mIoU': 41.936595452795025, 'mAcc': 51.12488383455217, 'aAcc': 89.86187428296107, 'fwIoU': 82.35416895009334}, 'rainy': {'mIoU': 44.61908119014277, 'mAcc': 52.482803588057656, 'aAcc': 88.44861634331703, 'fwIoU': 80.16780234041224}, 'snowy': {'mIoU': 46.89801006070817, 'mAcc': 53.22424044426446, 'aAcc': 86.19014877676719, 'fwIoU': 75.84383540419637}}"
baseline,iddaw,deeplabv3plus_r50,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/iddaw/deeplabv3plus_r50/test_results_detailed/20260130_154859,20260130_154859,38.36602673128555,47.01686616120605,85.12581750885539,75.68120949218901,2928,True,True,"{'clear_day': {'mIoU': 39.395150161008516, 'mAcc': 48.58572327365692, 'aAcc': 81.68003066382323, 'fwIoU': 70.54679557840396}, 'cloudy': {'mIoU': 39.360107176800355, 'mAcc': 47.88799701074106, 'aAcc': 91.72861741087384, 'fwIoU': 86.02303683827763}, 'dawn_dusk': {'mIoU': 32.48959221056428, 'mAcc': 40.92683442935133, 'aAcc': 89.3583228432514, 'fwIoU': 82.48718619897363}, 'foggy': {'mIoU': 38.16674290167576, 'mAcc': 47.4354606197885, 'aAcc': 92.95366588647524, 'fwIoU': 88.07766670799616}, 'night': {'mIoU': 33.16635511709148, 'mAcc': 43.37875530084088, 'aAcc': 86.85571176845926, 'fwIoU': 78.44889422594012}, 'rainy': {'mIoU': 34.578788893456206, 'mAcc': 41.826977604255504, 'aAcc': 85.39929960030787, 'fwIoU': 76.25622151555234}, 'snowy': {'mIoU': 34.9987724350161, 'mAcc': 43.556596055324306, 'aAcc': 81.9127863679434, 'fwIoU': 69.76417633021377}}"
baseline,iddaw,mask2former_swin-b,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/iddaw/mask2former_swin-b/test_results_detailed/20260204_221526,20260204_221526,42.9968178155207,55.5498134575384,85.93849720411662,77.35252968644953,2928,True,True,"{'clear_day': {'mIoU': 44.02702220132364, 'mAcc': 57.104566143651404, 'aAcc': 82.60019321222335, 'fwIoU': 72.73092243343855}, 'cloudy': {'mIoU': 43.62522305974728, 'mAcc': 56.00844393171267, 'aAcc': 92.23044864011155, 'fwIoU': 87.11867908802408}, 'dawn_dusk': {'mIoU': 42.02403763223882, 'mAcc': 56.11890728084499, 'aAcc': 89.91921620662933, 'fwIoU': 83.05777305126428}, 'foggy': {'mIoU': 45.96994441387147, 'mAcc': 60.44122364645182, 'aAcc': 93.74939407358485, 'fwIoU': 89.27640525929006}, 'night': {'mIoU': 42.852314269447604, 'mAcc': 55.839957595618586, 'aAcc': 87.8863247388369, 'fwIoU': 79.644065457182}, 'rainy': {'mIoU': 42.70077016353671, 'mAcc': 56.00039204825581, 'aAcc': 86.28489051793797, 'fwIoU': 77.43096820828738}, 'snowy': {'mIoU': 41.97507696030288, 'mAcc': 56.13160757335231, 'aAcc': 82.42852782145603, 'fwIoU': 70.68579837316604}}"
baseline,iddaw,pspnet_r50,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/iddaw/pspnet_r50/test_results_detailed/20260130_200206,20260130_200206,33.46825482270111,42.357832697524515,83.24086845174025,73.0807462973674,2928,True,True,"{'clear_day': {'mIoU': 34.132759263534794, 'mAcc': 43.57245829440513, 'aAcc': 79.47647277244988, 'fwIoU': 67.63339970380345}, 'cloudy': {'mIoU': 34.8116427956863, 'mAcc': 43.59809112198603, 'aAcc': 90.58514548270406, 'fwIoU': 84.41184378392394}, 'dawn_dusk': {'mIoU': 29.731329436195253, 'mAcc': 38.44615309843044, 'aAcc': 88.11183297148578, 'fwIoU': 80.5198789016665}, 'foggy': {'mIoU': 34.654267529037874, 'mAcc': 43.96937115075552, 'aAcc': 91.81730630619428, 'fwIoU': 86.35815289356144}, 'night': {'mIoU': 25.566845204718923, 'mAcc': 34.93534666530549, 'aAcc': 83.76909263779332, 'fwIoU': 74.17883809291969}, 'rainy': {'mIoU': 31.468919947886125, 'mAcc': 37.915602671966305, 'aAcc': 84.4077400174285, 'fwIoU': 74.36620839973554}, 'snowy': {'mIoU': 28.7805724068812, 'mAcc': 36.97238092495814, 'aAcc': 78.61188739279045, 'fwIoU': 65.81388349504294}}"
baseline,iddaw,segformer_mit-b3,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/iddaw/segformer_mit-b3/test_results_detailed/20260203_123411,20260203_123411,40.5581408267082,49.37680308552307,85.97410837718053,76.56475912585228,2928,True,True,"{'clear_day': {'mIoU': 41.16436299453683, 'mAcc': 50.689481478262046, 'aAcc': 82.1547985038374, 'fwIoU': 70.90771374794784}, 'cloudy': {'mIoU': 41.30273289142399, 'mAcc': 49.292366282496815, 'aAcc': 92.24077203820384, 'fwIoU': 86.52193777465303}, 'dawn_dusk': {'mIoU': 38.35560937008602, 'mAcc': 45.49699840657256, 'aAcc': 90.63398219972152, 'fwIoU': 83.59854077985418}, 'foggy': {'mIoU': 44.95093768936328, 'mAcc': 52.542519777168714, 'aAcc': 94.16032876271956, 'fwIoU': 89.5539045957184}, 'night': {'mIoU': 36.86735585603525, 'mAcc': 46.02977514084976, 'aAcc': 89.4033056746545, 'fwIoU': 81.70734601478638}, 'rainy': {'mIoU': 38.71031431037253, 'mAcc': 45.705838651265324, 'aAcc': 87.2024661431387, 'fwIoU': 78.03878025106597}, 'snowy': {'mIoU': 43.18979650498602, 'mAcc': 49.58924367166584, 'aAcc': 84.48314142599126, 'fwIoU': 73.20261394486523}}"
