strategy,dataset,model,test_type,result_type,metrics_file,mIoU,mAcc,aAcc,fwIoU,timestamp,has_per_domain,has_per_class
gen_Attribute_Hallucination,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,54.34,64.88,85.9,76.87999725341797,1767719588.0766628,False,False
gen_Attribute_Hallucination,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,56.0,66.6,85.46,76.37999725341797,1767719588.113102,False,False
gen_Attribute_Hallucination,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/outside15k/pspnet_r50/test_results/test/metrics.json,63.67,72.83,89.02,81.5199966430664,1767719588.1491685,False,False
gen_Attribute_Hallucination,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,63.0,72.24,87.83,79.66999816894531,1767719588.1750731,False,False
gen_Attribute_Hallucination,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/outside15k/segformer_mit-b5/test_results/test/metrics.json,75.72,84.27,92.97,87.37999725341797,1767719588.218168,False,False
gen_Attribute_Hallucination,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,73.88,82.68,92.19,86.01000213623047,1767719588.8257985,False,False
gen_CUT,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,51.18,56.01,96.6,93.61000061035156,1767719589.0725036,False,False
gen_CUT,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,54.66,60.6,96.68,93.76000213623047,1767719589.1087565,False,False
gen_CUT,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/bdd10k/pspnet_r50/test_results/test/metrics.json,58.53,62.69,97.23,94.69999694824219,1767719589.1434743,False,False
gen_CUT,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,55.37,59.76,96.84,94.0,1767719589.1833591,False,False
gen_CUT,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/bdd10k/segformer_mit-b5/test_results/test/metrics.json,64.79,68.36,97.65,95.47000122070312,1767719589.2253115,False,False
gen_CUT,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,63.73,68.29,97.4,95.04000091552734,1767719589.2691147,False,False
gen_CUT,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,73.69,78.91,98.33,96.87999725341797,1767719589.3030772,False,False
gen_CUT,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,69.14,75.28,97.69,95.73999786376953,1767719589.3624885,False,False
gen_CUT,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/idd-aw/pspnet_r50/test_results/test/metrics.json,76.75,82.06,98.36,96.94999694824219,1767719589.4025118,False,False
gen_CUT,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,73.17,78.38,97.85,95.97000122070312,1767719589.4457717,False,False
gen_CUT,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/idd-aw/segformer_mit-b5/test_results/test/metrics.json,85.54,91.26,98.74,97.62999725341797,1767719589.4766238,False,False
