strategy,dataset,model,test_type,result_type,metrics_file,mIoU,mAcc,aAcc,fwIoU,timestamp,has_per_domain,has_per_class
gen_SUSTechGAN,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,70.14,76.31,97.69,95.72000122070312,1767719597.2870874,False,False
gen_SUSTechGAN,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/idd-aw/pspnet_r50/test_results/test/metrics.json,75.89,80.98,98.35,96.93000030517578,1767719597.3206224,False,False
gen_SUSTechGAN,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,73.83,79.04,98.02,96.30000305175781,1767719597.3458724,False,False
gen_SUSTechGAN,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/idd-aw/segformer_mit-b5/test_results/test/metrics.json,85.45,90.87,98.76,97.66000366210938,1767719597.372268,False,False
gen_SUSTechGAN,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,80.45,85.77,98.5,97.18000030517578,1767719597.397522,False,False
gen_SUSTechGAN,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,28.79,46.51,59.58,41.61000061035156,1767719597.4360592,False,False
gen_SUSTechGAN,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,25.87,40.34,55.29,38.810001373291016,1767719597.4645748,False,False
gen_SUSTechGAN,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,32.93,48.94,65.24,48.66999816894531,1767719597.4962552,False,False
gen_SUSTechGAN,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,33.45,46.15,66.9,51.290000915527344,1767719597.5252683,False,False
gen_SUSTechGAN,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,69.18,74.04,94.45,89.7300033569336,1767719597.555687,False,False
gen_SUSTechGAN,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,68.0,72.56,94.17,89.13999938964844,1767719597.5942657,False,False
gen_SUSTechGAN,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,54.43,65.43,85.73,76.79000091552734,1767719597.624262,False,False
gen_SUSTechGAN,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,55.79,66.98,85.5,76.33000183105469,1767719597.6485596,False,False
gen_SUSTechGAN,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/outside15k/pspnet_r50/test_results/test/metrics.json,65.15,74.2,89.52,82.33000183105469,1767719597.6757317,False,False
gen_SUSTechGAN,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,62.88,72.02,88.22,80.06999969482422,1767719597.7079258,False,False
gen_SUSTechGAN,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/outside15k/segformer_mit-b5/test_results/test/metrics.json,75.7,84.13,92.95,87.30000305175781,1767719597.7345493,False,False
gen_SUSTechGAN,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,73.83,82.51,91.99,85.69999694824219,1767719597.7680955,False,False
gen_StyleID,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,49.34,53.92,96.42,93.29000091552734,1767719598.4758017,False,False
gen_StyleID,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,48.91,53.23,96.26,93.0199966430664,1767719598.5187745,False,False
gen_StyleID,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/bdd10k/pspnet_r50/test_results/test/metrics.json,53.88,58.26,96.83,93.9800033569336,1767719598.5461206,False,False
gen_StyleID,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,56.25,60.83,96.91,94.12000274658203,1767719598.6004016,False,False
gen_StyleID,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/bdd10k/segformer_mit-b5/test_results/test/metrics.json,66.09,69.58,97.67,95.51000213623047,1767719598.6299543,False,False
gen_StyleID,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,61.29,65.42,97.45,95.12999725341797,1767719598.6779156,False,False
gen_StyleID,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,71.89,77.23,98.04,96.37000274658203,1767719598.7131896,False,False
gen_StyleID,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,68.38,74.9,97.5,95.43000030517578,1767719598.7566452,False,False
gen_StyleID,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/idd-aw/pspnet_r50/test_results/test/metrics.json,77.68,82.97,98.39,97.0,1767719598.7882898,False,False
gen_StyleID,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,73.01,78.37,97.9,96.06999969482422,1767719598.8465729,False,False
gen_StyleID,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/idd-aw/segformer_mit-b5/test_results/test/metrics.json,85.14,90.77,98.74,97.62999725341797,1767719598.8824213,False,False
gen_StyleID,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,80.19,85.77,98.44,97.08000183105469,1767719598.9458716,False,False
gen_StyleID,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,28.33,43.06,59.0,42.38999938964844,1767719598.9791634,False,False
gen_StyleID,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,39.09,51.22,73.84,59.439998626708984,1767719599.0347831,False,False
gen_StyleID,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,28.29,46.2,58.89,40.7599983215332,1767719599.0697222,False,False
gen_StyleID,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,33.59,47.16,66.64,50.88999938964844,1767719599.1078057,False,False
gen_StyleID,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,66.48,71.57,93.85,88.69000244140625,1767719599.1407027,False,False
gen_StyleID,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,65.01,69.67,93.67,88.25,1767719599.1873057,False,False
gen_StyleID,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,56.85,67.49,86.72,78.01000213623047,1767719599.2211742,False,False
gen_StyleID,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,55.49,66.41,85.56,76.37000274658203,1767719599.2676916,False,False
gen_StyleID,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/outside15k/pspnet_r50/test_results/test/metrics.json,64.91,73.62,89.53,82.29000091552734,1767719599.3028662,False,False
gen_StyleID,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,63.15,72.35,87.98,79.76000213623047,1767719599.3434525,False,False
gen_StyleID,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/outside15k/segformer_mit-b5/test_results/test/metrics.json,76.01,84.54,92.92,87.31999969482422,1767719599.3790228,False,False
gen_StyleID,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_StyleID/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,73.66,82.38,91.91,85.58999633789062,1767719599.4118507,False,False
gen_TSIT,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,51.59,56.45,96.68,93.7300033569336,1767719599.6541305,False,False
gen_TSIT,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,46.63,51.18,95.81,92.25,1767719599.6921198,False,False
gen_TSIT,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/bdd10k/pspnet_r50/test_results/test/metrics.json,57.16,61.62,97.1,94.4800033569336,1767719599.7165499,False,False
gen_TSIT,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,56.59,61.55,96.99,94.27999877929688,1767719599.7399824,False,False
gen_TSIT,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/bdd10k/segformer_mit-b5/test_results/test/metrics.json,67.47,71.34,97.64,95.44999694824219,1767719599.7704294,False,False
gen_TSIT,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,65.67,70.38,97.39,95.0199966430664,1767719599.7959256,False,False
gen_TSIT,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,72.57,77.82,98.18,96.61000061035156,1767719599.824152,False,False
gen_TSIT,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,70.84,76.44,97.86,96.0199966430664,1767719599.8622797,False,False
gen_TSIT,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/idd-aw/pspnet_r50/test_results/test/metrics.json,76.66,81.81,98.36,96.94000244140625,1767719599.9045458,False,False
gen_TSIT,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,73.52,78.56,97.97,96.18000030517578,1767719599.9803584,False,False
gen_TSIT,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/idd-aw/segformer_mit-b5/test_results/test/metrics.json,83.85,89.11,98.74,97.62999725341797,1767719600.0134063,False,False
gen_TSIT,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,78.39,83.69,98.45,97.08999633789062,1767719600.0570853,False,False
gen_TSIT,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,21.1,39.64,48.09,29.139999389648438,1767719600.0864618,False,False
gen_TSIT,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,36.91,49.38,71.23,56.2599983215332,1767719600.1208923,False,False
gen_TSIT,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,33.6,46.91,66.77,51.04999923706055,1767719600.1940005,False,False
gen_TSIT,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,36.46,48.92,70.71,55.61000061035156,1767719600.2320914,False,False
gen_TSIT,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,68.29,74.12,93.72,88.52999877929688,1767719600.2619681,False,False
gen_TSIT,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,67.37,72.38,93.82,88.58000183105469,1767719600.2912204,False,False
gen_TSIT,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,54.89,65.49,85.78,76.81999969482422,1767719600.3156204,False,False
gen_TSIT,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,55.87,66.45,85.15,75.95999908447266,1767719600.343129,False,False
gen_TSIT,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/outside15k/pspnet_r50/test_results/test/metrics.json,64.31,73.32,89.22,81.97000122070312,1767719600.3703296,False,False
gen_TSIT,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,60.56,70.4,86.82,78.16999816894531,1767719600.393649,False,False
gen_TSIT,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/outside15k/segformer_mit-b5/test_results/test/metrics.json,76.25,84.78,92.93,87.27999877929688,1767719600.4205835,False,False
gen_TSIT,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_TSIT/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,74.12,82.97,92.06,85.83000183105469,1767719600.4469228,False,False
gen_UniControl,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,50.76,55.35,96.57,93.55000305175781,1767719600.6457205,False,False
gen_UniControl,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,51.5,56.63,96.55,93.56999969482422,1767719600.6727695,False,False
gen_UniControl,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/bdd10k/pspnet_r50/test_results/test/metrics.json,57.6,61.38,97.13,94.5,1767719600.7037117,False,False
gen_UniControl,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,54.9,58.95,96.96,94.22000122070312,1767719600.7354987,False,False
gen_UniControl,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/bdd10k/segformer_mit-b5/test_results/test/metrics.json,66.4,70.23,97.62,95.41999816894531,1767719600.7665846,False,False
gen_UniControl,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,63.22,67.06,97.45,95.11000061035156,1767719600.934047,False,False
gen_UniControl,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,72.22,77.57,98.09,96.45999908447266,1767719600.9652696,False,False
gen_UniControl,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,71.28,76.75,97.91,96.12000274658203,1767719601.3985207,False,False
gen_UniControl,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/idd-aw/pspnet_r50/test_results/test/metrics.json,77.11,82.35,98.38,96.9800033569336,1767719601.4238083,False,False
gen_UniControl,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,73.09,78.39,97.89,96.04000091552734,1767719601.4574127,False,False
gen_UniControl,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/idd-aw/segformer_mit-b5/test_results/test/metrics.json,84.26,89.63,98.74,97.63999938964844,1767719601.4834008,False,False
gen_UniControl,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,78.66,84.02,98.44,97.08000183105469,1767719601.5104825,False,False
gen_UniControl,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,27.52,40.32,58.56,42.470001220703125,1767719601.5398922,False,False
gen_UniControl,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,24.91,37.48,54.57,38.599998474121094,1767719601.5712593,False,False
gen_UniControl,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,32.26,48.14,64.35,47.72999954223633,1767719601.6242127,False,False
gen_UniControl,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,33.69,46.86,66.94,51.25,1767719601.6485326,False,False
gen_UniControl,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,69.46,74.05,94.8,90.3499984741211,1767719601.6732705,False,False
gen_UniControl,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,69.53,74.11,94.38,89.51000213623047,1767719601.6983776,False,False
gen_UniControl,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,57.54,67.9,86.87,78.29000091552734,1767719601.720987,False,False
gen_UniControl,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,56.86,67.71,85.89,76.88999938964844,1767719601.749087,False,False
gen_UniControl,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/outside15k/pspnet_r50/test_results/test/metrics.json,65.07,74.06,89.66,82.44999694824219,1767719601.7719042,False,False
gen_UniControl,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,59.44,69.05,86.56,77.69999694824219,1767719601.7967193,False,False
gen_UniControl,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/outside15k/segformer_mit-b5/test_results/test/metrics.json,75.88,84.33,93.04,87.44999694824219,1767719601.8262038,False,False
gen_UniControl,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_UniControl/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,73.71,82.68,92.01,85.7699966430664,1767719601.8508487,False,False
gen_Weather_Effect_Generator,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,49.26,53.77,96.45,93.3499984741211,1767719602.0434492,False,False
gen_Weather_Effect_Generator,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,51.71,56.72,96.37,93.19999694824219,1767719602.0727932,False,False
gen_Weather_Effect_Generator,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/bdd10k/pspnet_r50/test_results/test/metrics.json,56.79,61.08,97.13,94.52999877929688,1767719602.102729,False,False
gen_Weather_Effect_Generator,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,56.28,60.93,96.94,94.19000244140625,1767719602.1301773,False,False
gen_Weather_Effect_Generator,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/bdd10k/segformer_mit-b5/test_results/test/metrics.json,66.45,70.54,97.57,95.31999969482422,1767719602.1540034,False,False
gen_Weather_Effect_Generator,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,62.96,67.08,97.49,95.19999694824219,1767719602.178058,False,False
gen_Weather_Effect_Generator,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,73.19,78.39,98.23,96.69999694824219,1767719602.2054863,False,False
gen_Weather_Effect_Generator,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,71.59,77.06,97.86,96.01000213623047,1767719602.231731,False,False
gen_Weather_Effect_Generator,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/idd-aw/pspnet_r50/test_results/test/metrics.json,75.8,81.02,98.32,96.87999725341797,1767719602.2627962,False,False
gen_Weather_Effect_Generator,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,72.78,78.05,97.94,96.13999938964844,1767719602.290402,False,False
gen_Weather_Effect_Generator,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/idd-aw/segformer_mit-b5/test_results/test/metrics.json,84.6,89.85,98.76,97.68000030517578,1767719602.3165798,False,False
gen_Weather_Effect_Generator,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,79.7,84.94,98.5,97.18000030517578,1767719602.3439019,False,False
gen_Weather_Effect_Generator,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,28.08,41.57,59.04,42.79999923706055,1767719602.3710432,False,False
gen_Weather_Effect_Generator,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,22.43,35.47,49.97,34.209999084472656,1767719602.399219,False,False
