strategy,dataset,model,domain,mIoU,mAcc,aAcc,fwIoU,num_images,strategy_type,gen_component,std_component,model_normalized,improvement
baseline,mapillaryvistas,pspnet_r50,cloudy,31.859247398894386,40.63632330114121,89.83511282847478,83.37370659087799,1248,baseline,,,pspnet_r50,0.0
baseline,mapillaryvistas,pspnet_r50,dawn_dusk,35.714777714073186,43.15178562129081,87.7998193105062,79.9153571712369,48,baseline,,,pspnet_r50,0.0
baseline,mapillaryvistas,pspnet_r50,foggy,30.851361520099278,40.338200153487904,86.01669028953269,79.11294553964278,27,baseline,,,pspnet_r50,0.0
baseline,mapillaryvistas,pspnet_r50,night,27.99989141536998,37.07556521916789,82.69073580518182,73.17072239854394,81,baseline,,,pspnet_r50,0.0
baseline,mapillaryvistas,pspnet_r50,rainy,29.80941225727779,37.60558456678305,83.43098881732986,73.91115089121665,166,baseline,,,pspnet_r50,0.0
baseline,mapillaryvistas,pspnet_r50,snowy,25.451894422717693,33.480835183618645,83.26995201360167,73.77820690686417,153,baseline,,,pspnet_r50,0.0
baseline,mapillaryvistas,segformer_mit-b5,clear_day,40.416089065066785,49.86579891786362,90.33557787787005,83.87089824717702,3226,baseline,,,segformer_mit-b5,0.0
baseline,mapillaryvistas,segformer_mit-b5,cloudy,38.222089878378114,48.158652327798194,91.84581163601997,86.40629167876158,1248,baseline,,,segformer_mit-b5,0.0
baseline,mapillaryvistas,segformer_mit-b5,dawn_dusk,43.015020665356104,51.64102160837003,90.22088845570883,83.60348131145862,48,baseline,,,segformer_mit-b5,0.0
baseline,mapillaryvistas,segformer_mit-b5,foggy,36.67792432751259,43.31783786884107,89.57331622088397,82.3389090818885,27,baseline,,,segformer_mit-b5,0.0
baseline,mapillaryvistas,segformer_mit-b5,night,34.992518789165075,43.66461440915227,86.69078026288821,78.89898860508126,81,baseline,,,segformer_mit-b5,0.0
baseline,mapillaryvistas,segformer_mit-b5,rainy,35.87243028848632,45.92987300673198,87.82461465123188,80.17520320543538,166,baseline,,,segformer_mit-b5,0.0
baseline,mapillaryvistas,segformer_mit-b5,snowy,35.74012701974285,44.58418172114685,86.62852866976868,78.15838153359684,153,baseline,,,segformer_mit-b5,0.0
baseline,outside15k,deeplabv3plus_r50,clear_day,29.626390836613204,37.660347529847826,74.18246029053425,62.88421866220089,1767,baseline,,,deeplabv3plus_r50,0.0
baseline,outside15k,deeplabv3plus_r50,cloudy,24.472848900592837,33.28788124817954,69.47219234773483,59.409779732188554,174,baseline,,,deeplabv3plus_r50,0.0
baseline,outside15k,deeplabv3plus_r50,dawn_dusk,10.720295454098629,19.25533164305633,37.80484055027817,27.736400866633105,66,baseline,,,deeplabv3plus_r50,0.0
baseline,outside15k,deeplabv3plus_r50,foggy,29.224255000506698,37.099450452520756,63.952203699060384,51.71912533188129,37,baseline,,,deeplabv3plus_r50,0.0
baseline,outside15k,deeplabv3plus_r50,night,14.966458972435518,21.39273346515507,55.50361720994971,45.01656698717994,87,baseline,,,deeplabv3plus_r50,0.0
baseline,outside15k,deeplabv3plus_r50,rainy,22.615375180257963,31.296952344128087,53.4031351407369,38.941660635927455,192,baseline,,,deeplabv3plus_r50,0.0
baseline,outside15k,deeplabv3plus_r50,snowy,18.842554836786633,27.226495799701823,52.13130699409233,38.22007812136318,182,baseline,,,deeplabv3plus_r50,0.0
baseline,outside15k,pspnet_r50,clear_day,38.411794113678866,48.044065481739764,79.37272508466857,68.86900721497705,1767,baseline,,,pspnet_r50,0.0
baseline,outside15k,pspnet_r50,cloudy,31.391038164218195,40.14868208783916,75.55152849219311,65.91769472126536,174,baseline,,,pspnet_r50,0.0
baseline,outside15k,pspnet_r50,dawn_dusk,17.422429773924915,28.581822066291355,52.426453792687624,40.528257215608264,66,baseline,,,pspnet_r50,0.0
baseline,outside15k,pspnet_r50,foggy,38.30280848432682,48.072064401680564,72.077684144716,60.761944499405,37,baseline,,,pspnet_r50,0.0
baseline,outside15k,pspnet_r50,night,23.08874974685715,31.484960067734765,70.73428274571211,58.36000083252457,87,baseline,,,pspnet_r50,0.0
baseline,outside15k,pspnet_r50,rainy,32.587136329220314,45.66418967078349,62.144784132639565,48.01691131703759,192,baseline,,,pspnet_r50,0.0
baseline,outside15k,pspnet_r50,snowy,25.506315412000248,34.51871421933293,59.685472341684196,48.218979183789365,182,baseline,,,pspnet_r50,0.0
baseline,outside15k,segformer_mit-b5,clear_day,50.90639749011026,63.23358160732141,84.57263413295951,74.97759304871663,1767,baseline,,,segformer_mit-b5,0.0
baseline,outside15k,segformer_mit-b5,cloudy,45.10338855591573,56.18921499084928,83.81341736892173,74.89605661077852,174,baseline,,,segformer_mit-b5,0.0
baseline,outside15k,segformer_mit-b5,dawn_dusk,33.1687458199431,43.308323450045364,76.50588642467152,64.4966539675626,66,baseline,,,segformer_mit-b5,0.0
baseline,outside15k,segformer_mit-b5,foggy,48.81400441810256,58.57572050461852,82.2127780398807,71.11107833327745,37,baseline,,,segformer_mit-b5,0.0
baseline,outside15k,segformer_mit-b5,night,40.091121733191756,48.96250441070984,82.36276034651131,72.15287502898465,87,baseline,,,segformer_mit-b5,0.0
baseline,outside15k,segformer_mit-b5,rainy,45.31304217763379,57.46929488334569,74.86390272776285,61.925544699382804,192,baseline,,,segformer_mit-b5,0.0
baseline,outside15k,segformer_mit-b5,snowy,37.37807440308497,51.28853410316248,72.04869867681147,59.75565993370814,182,baseline,,,segformer_mit-b5,0.0
gen_Attribute_Hallucination,bdd10k,deeplabv3plus_r50_ratio0p50,clear_day,44.96666984577205,52.95192141821644,91.27870735426707,84.64440570846082,1016,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,2.9683137005266786
gen_Attribute_Hallucination,bdd10k,deeplabv3plus_r50_ratio0p50,cloudy,47.685899565426446,54.19127734665709,93.97467286702027,89.25125230027899,230,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,3.844790111239604
gen_Attribute_Hallucination,bdd10k,deeplabv3plus_r50_ratio0p50,dawn_dusk,38.78907452162874,44.87937144686797,91.2499177504361,84.66286280640162,94,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,4.129979131911682
gen_Attribute_Hallucination,bdd10k,deeplabv3plus_r50_ratio0p50,foggy,57.864440347545354,71.74653641201253,96.08808588291384,93.61897827896584,4,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,11.249355227023692
gen_Attribute_Hallucination,bdd10k,deeplabv3plus_r50_ratio0p50,night,21.642443644381675,30.309411422886356,68.22881271228812,55.3618928373626,92,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,2.3392690658423376
gen_Attribute_Hallucination,bdd10k,deeplabv3plus_r50_ratio0p50,rainy,40.428949842797074,49.13498307046904,87.65787828759886,79.06706982895531,200,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,2.7353703699472334
gen_Attribute_Hallucination,bdd10k,deeplabv3plus_r50_ratio0p50,snowy,49.65630430450088,60.60590010875322,90.19751914306086,83.07049642895853,221,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,5.72803384910312
gen_Attribute_Hallucination,bdd10k,pspnet_r50_ratio0p50,clear_day,46.565654925321844,53.63403681069473,91.24184563694621,84.45325384727683,1016,gen,gen_Attribute_Hallucination,,pspnet_r50,2.0197057228617084
gen_Attribute_Hallucination,bdd10k,pspnet_r50_ratio0p50,cloudy,50.25093395628441,57.42281984901293,93.88983302404739,89.00124462770194,230,gen,gen_Attribute_Hallucination,,pspnet_r50,2.226300379782238
gen_Attribute_Hallucination,bdd10k,pspnet_r50_ratio0p50,dawn_dusk,39.25590619615015,45.16578158567873,91.2447595624459,84.64086299647207,94,gen,gen_Attribute_Hallucination,,pspnet_r50,2.3690175607602697
gen_Attribute_Hallucination,bdd10k,pspnet_r50_ratio0p50,foggy,55.38831928998794,64.60275030846948,96.60214625084255,94.20139744861414,4,gen,gen_Attribute_Hallucination,,pspnet_r50,4.464985973797255
gen_Attribute_Hallucination,bdd10k,pspnet_r50_ratio0p50,night,22.717680718594725,30.208308350739077,71.44510124980322,58.37489674612713,92,gen,gen_Attribute_Hallucination,,pspnet_r50,0.7421990327275196
gen_Attribute_Hallucination,bdd10k,pspnet_r50_ratio0p50,rainy,44.28472727320686,51.69812299257642,88.72678117037542,80.42131970460733,200,gen,gen_Attribute_Hallucination,,pspnet_r50,1.133271443522844
gen_Attribute_Hallucination,bdd10k,pspnet_r50_ratio0p50,snowy,52.579059298516285,62.08508633718897,90.63257947229226,83.59434187695759,221,gen,gen_Attribute_Hallucination,,pspnet_r50,4.306201485781699
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5_ratio0p50,clear_day,52.288566853975084,60.01662411539689,92.18841337518278,86.02178373572693,1016,gen,gen_Attribute_Hallucination,,segformer_mit-b5,1.4029363999503843
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5_ratio0p50,cloudy,54.317729347278956,61.14826758815974,94.68047273390316,90.36634282697106,230,gen,gen_Attribute_Hallucination,,segformer_mit-b5,1.5357377083812338
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5_ratio0p50,dawn_dusk,44.673718970660694,52.127050572223844,92.28467549417188,86.43072793999399,94,gen,gen_Attribute_Hallucination,,segformer_mit-b5,2.272143443666053
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5_ratio0p50,foggy,57.32565466269598,72.2443648514502,96.62464859355221,94.27111955922388,4,gen,gen_Attribute_Hallucination,,segformer_mit-b5,1.305623497741152
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5_ratio0p50,night,28.99966193141467,36.86557249577996,77.73689192903167,65.77735870340904,92,gen,gen_Attribute_Hallucination,,segformer_mit-b5,0.5758946936285767
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5_ratio0p50,rainy,50.97166552294677,58.61575639271799,90.8055227744836,83.66859587770318,200,gen,gen_Attribute_Hallucination,,segformer_mit-b5,1.5796168421317915
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5_ratio0p50,snowy,58.39677037149792,68.28883871208483,91.59784452451964,85.17513157435133,221,gen,gen_Attribute_Hallucination,,segformer_mit-b5,2.8243979598805993
gen_Attribute_Hallucination,idd-aw,deeplabv3plus_r50_ratio0p50,clear_day,43.66736141893078,52.84765105336192,83.29253536751624,72.70396650500346,1650,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,0.28111886347344495
gen_Attribute_Hallucination,idd-aw,deeplabv3plus_r50_ratio0p50,cloudy,33.714607887957165,44.37193602280774,87.71105441283353,80.11897281928468,416,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,3.682648882513746
gen_Attribute_Hallucination,idd-aw,deeplabv3plus_r50_ratio0p50,dawn_dusk,29.905403084372633,39.84449304570035,85.76163675727739,76.99584892796796,112,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,3.0164882689781223
gen_Attribute_Hallucination,idd-aw,deeplabv3plus_r50_ratio0p50,foggy,25.0631204526999,35.38417798984584,85.81631183846076,77.49684576556933,290,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,4.049519496611193
gen_Attribute_Hallucination,idd-aw,deeplabv3plus_r50_ratio0p50,night,23.080005636920045,31.071742983400785,77.40456505326662,64.80925373366561,93,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,2.111662668524474
gen_Attribute_Hallucination,idd-aw,deeplabv3plus_r50_ratio0p50,rainy,25.582369076897294,33.6665275996159,81.73245655403545,71.60971734004664,204,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,2.6879408164367966
gen_Attribute_Hallucination,idd-aw,deeplabv3plus_r50_ratio0p50,snowy,22.14900577424707,31.374295885150815,74.89520072594703,61.290914006342554,163,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,2.3186280867854805
gen_Attribute_Hallucination,idd-aw,pspnet_r50_ratio0p50,clear_day,44.05499709433437,53.465407102451444,83.36325718490477,72.90919202009609,1650,gen,gen_Attribute_Hallucination,,pspnet_r50,1.7056936803749068
gen_Attribute_Hallucination,idd-aw,pspnet_r50_ratio0p50,cloudy,32.717086766504075,42.79868158210834,87.9369855706091,80.56539460745635,416,gen,gen_Attribute_Hallucination,,pspnet_r50,2.388855312096176
gen_Attribute_Hallucination,idd-aw,pspnet_r50_ratio0p50,dawn_dusk,28.688846663508134,38.25095099572768,86.19968652082733,77.88749608299128,112,gen,gen_Attribute_Hallucination,,pspnet_r50,1.6494140930707886
gen_Attribute_Hallucination,idd-aw,pspnet_r50_ratio0p50,foggy,24.551881917493144,34.92754409695563,85.89109121791843,77.85024855589437,290,gen,gen_Attribute_Hallucination,,pspnet_r50,1.414573680336055
gen_Attribute_Hallucination,idd-aw,pspnet_r50_ratio0p50,night,21.737220663997107,33.61455775026977,72.69709514480367,58.900451073844664,93,gen,gen_Attribute_Hallucination,,pspnet_r50,1.352233825206568
gen_Attribute_Hallucination,idd-aw,pspnet_r50_ratio0p50,rainy,25.273724091305354,33.54117886228332,80.4837575034675,70.1208350402726,204,gen,gen_Attribute_Hallucination,,pspnet_r50,1.4112385282385596
gen_Attribute_Hallucination,idd-aw,pspnet_r50_ratio0p50,snowy,21.560116720843496,31.541056324821582,74.21945674980769,60.24925383536443,163,gen,gen_Attribute_Hallucination,,pspnet_r50,0.43016758901235264
gen_Attribute_Hallucination,idd-aw,segformer_mit-b5_ratio0p50,clear_day,46.864714007429484,56.82991180693422,84.50300647028122,74.54854691888275,1650,gen,gen_Attribute_Hallucination,,segformer_mit-b5,0.8215835286731732
gen_Attribute_Hallucination,idd-aw,segformer_mit-b5_ratio0p50,cloudy,40.40965391027555,49.97785024762768,91.6061422863926,85.91324724666308,416,gen,gen_Attribute_Hallucination,,segformer_mit-b5,2.213471066998906
gen_Attribute_Hallucination,idd-aw,segformer_mit-b5_ratio0p50,dawn_dusk,39.45669336608631,47.97942481321801,89.82081558969965,82.70272498273573,112,gen,gen_Attribute_Hallucination,,segformer_mit-b5,0.29750363050275297
gen_Attribute_Hallucination,idd-aw,segformer_mit-b5_ratio0p50,foggy,37.382502252633934,46.7134889170766,92.41080043541497,87.17369595809808,290,gen,gen_Attribute_Hallucination,,segformer_mit-b5,2.512034798406532
gen_Attribute_Hallucination,idd-aw,segformer_mit-b5_ratio0p50,night,37.848903269638186,47.90324703513699,86.07875549823586,77.08304382567137,93,gen,gen_Attribute_Hallucination,,segformer_mit-b5,3.504638483619722
gen_Attribute_Hallucination,idd-aw,segformer_mit-b5_ratio0p50,rainy,33.06800403377972,43.71009950850559,84.034060043807,74.68624916193349,204,gen,gen_Attribute_Hallucination,,segformer_mit-b5,2.851967537266596
gen_Attribute_Hallucination,idd-aw,segformer_mit-b5_ratio0p50,snowy,28.665996725220676,44.370564468935726,77.72955013389647,64.91716438337856,163,gen,gen_Attribute_Hallucination,,segformer_mit-b5,0.016394808269129868
gen_Attribute_Hallucination,mapillaryvistas,deeplabv3plus_r50_ratio0p50,clear_day,32.5756415035422,40.54420149553168,88.98023663288454,82.08827756172903,3226,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,0.3173734542012099
gen_Attribute_Hallucination,mapillaryvistas,deeplabv3plus_r50_ratio0p50,cloudy,33.273980847898684,42.49461555603219,90.88538273786887,85.10529745080483,1248,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,-0.05620852371523455
gen_Attribute_Hallucination,mapillaryvistas,deeplabv3plus_r50_ratio0p50,dawn_dusk,34.99635033114239,42.777337401032725,88.5002851486206,81.0615844245336,48,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,0.6919182628345908
gen_Attribute_Hallucination,mapillaryvistas,deeplabv3plus_r50_ratio0p50,foggy,33.61616903005788,42.30424147021917,86.92208749276621,80.11329130827266,27,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,0.47006459544802937
gen_Attribute_Hallucination,mapillaryvistas,deeplabv3plus_r50_ratio0p50,night,28.61269427498448,36.67719980708845,84.4753971806279,76.212609923337,81,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,0.7751535486764745
gen_Attribute_Hallucination,mapillaryvistas,deeplabv3plus_r50_ratio0p50,rainy,29.70715246300652,38.62386731662575,84.57659296242588,76.34396946407695,166,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,0.8761487030658941
gen_Attribute_Hallucination,mapillaryvistas,deeplabv3plus_r50_ratio0p50,snowy,26.378646110879345,34.70563935026272,83.1766913918888,75.05401702304634,153,gen,gen_Attribute_Hallucination,,deeplabv3plus_r50,-0.5518414710856128
gen_Attribute_Hallucination,mapillaryvistas,pspnet_r50_ratio0p50,clear_day,32.49383576650263,40.86575872198131,88.15136476104037,80.48006511967625,3226,gen,gen_Attribute_Hallucination,,pspnet_r50,0.6673736601148335
gen_Attribute_Hallucination,mapillaryvistas,pspnet_r50_ratio0p50,cloudy,32.432500541665625,41.605867120601935,89.78590323374821,83.18936028405017,1248,gen,gen_Attribute_Hallucination,,pspnet_r50,0.5732531427712395
gen_Attribute_Hallucination,mapillaryvistas,pspnet_r50_ratio0p50,dawn_dusk,35.53024738132688,42.333953967792695,87.84261544545492,79.90479127533115,48,gen,gen_Attribute_Hallucination,,pspnet_r50,-0.1845303327463057
gen_Attribute_Hallucination,mapillaryvistas,pspnet_r50_ratio0p50,foggy,31.30372404073867,42.019453428180256,85.55337411385996,78.38748618698197,27,gen,gen_Attribute_Hallucination,,pspnet_r50,0.4523625206393902
gen_Attribute_Hallucination,mapillaryvistas,pspnet_r50_ratio0p50,night,29.124568826645987,36.98737397159618,83.10354727285879,73.64076962526174,81,gen,gen_Attribute_Hallucination,,pspnet_r50,1.1246774112760072
gen_Attribute_Hallucination,mapillaryvistas,pspnet_r50_ratio0p50,rainy,29.675771882903046,38.51974873231125,83.21271919342409,73.00688633640449,166,gen,gen_Attribute_Hallucination,,pspnet_r50,-0.13364037437474252
gen_Attribute_Hallucination,mapillaryvistas,pspnet_r50_ratio0p50,snowy,26.79700082270203,35.33980174302822,82.57529813479753,72.86597035213856,153,gen,gen_Attribute_Hallucination,,pspnet_r50,1.3451063999843385
gen_Attribute_Hallucination,mapillaryvistas,segformer_mit-b5_ratio0p50,clear_day,40.893111782571864,50.41240564326939,90.52167822689428,84.11900235824915,3226,gen,gen_Attribute_Hallucination,,segformer_mit-b5,0.4770227175050792
gen_Attribute_Hallucination,mapillaryvistas,segformer_mit-b5_ratio0p50,cloudy,37.90975035056052,47.79937584292185,91.75713276251768,86.27127293186119,1248,gen,gen_Attribute_Hallucination,,segformer_mit-b5,-0.312339527817592
gen_Attribute_Hallucination,mapillaryvistas,segformer_mit-b5_ratio0p50,dawn_dusk,44.544472370821445,52.953691968761206,90.47511418660483,84.05988601893203,48,gen,gen_Attribute_Hallucination,,segformer_mit-b5,1.5294517054653411
gen_Attribute_Hallucination,mapillaryvistas,segformer_mit-b5_ratio0p50,foggy,34.96124497257174,44.216212335332266,89.23571551287615,81.89503614362661,27,gen,gen_Attribute_Hallucination,,segformer_mit-b5,-1.716679354940851
gen_Attribute_Hallucination,mapillaryvistas,segformer_mit-b5_ratio0p50,night,35.543129187333854,45.233483337126074,87.47894381299432,80.04883174036296,81,gen,gen_Attribute_Hallucination,,segformer_mit-b5,0.5506103981687787
gen_Attribute_Hallucination,mapillaryvistas,segformer_mit-b5_ratio0p50,rainy,37.10237183275981,47.54594522453926,88.12146244278874,80.41838179835231,166,gen,gen_Attribute_Hallucination,,segformer_mit-b5,1.229941544273487
gen_Attribute_Hallucination,mapillaryvistas,segformer_mit-b5_ratio0p50,snowy,36.39818755013175,45.065775207136234,86.51984719669117,77.90137665240077,153,gen,gen_Attribute_Hallucination,,segformer_mit-b5,0.6580605303889016
